,Synset,Name
11564,Synset('atomic_mass_unit.n.01'),atomic_mass_unit.n.01
11565,Synset('avoirdupois_unit.n.01'),avoirdupois_unit.n.01
11566,Synset('mass_number.n.01'),mass_number.n.01
11567,Synset('metric_weight_unit.n.01'),metric_weight_unit.n.01
11568,Synset('slug.n.02'),slug.n.02
11569,Synset('metric_capacity_unit.n.01'),metric_capacity_unit.n.01
11570,Synset('afghan_monetary_unit.n.01'),afghan_monetary_unit.n.01
11571,Synset('albanian_monetary_unit.n.01'),albanian_monetary_unit.n.01
11572,Synset('algerian_monetary_unit.n.01'),algerian_monetary_unit.n.01
11573,Synset('angolan_monetary_unit.n.01'),angolan_monetary_unit.n.01
11574,Synset('argentine_monetary_unit.n.01'),argentine_monetary_unit.n.01
11575,Synset('armenian_monetary_unit.n.01'),armenian_monetary_unit.n.01
11576,Synset('austrian_monetary_unit.n.01'),austrian_monetary_unit.n.01
11577,Synset('azerbaijani_monetary_unit.n.01'),azerbaijani_monetary_unit.n.01
11578,Synset('bahrainian_monetary_unit.n.01'),bahrainian_monetary_unit.n.01
11579,Synset('bangladeshi_monetary_unit.n.01'),bangladeshi_monetary_unit.n.01
11580,Synset('belarusian_monetary_unit.n.01'),belarusian_monetary_unit.n.01
11581,Synset('bhutanese_monetary_unit.n.01'),bhutanese_monetary_unit.n.01
11582,Synset('bolivian_monetary_unit.n.01'),bolivian_monetary_unit.n.01
11583,Synset('botswana_monetary_unit.n.01'),botswana_monetary_unit.n.01
11584,Synset('brazilian_monetary_unit.n.01'),brazilian_monetary_unit.n.01
11585,Synset('british_monetary_unit.n.01'),british_monetary_unit.n.01
11586,Synset('bulgarian_monetary_unit.n.01'),bulgarian_monetary_unit.n.01
11587,Synset('cambodian_monetary_unit.n.01'),cambodian_monetary_unit.n.01
11588,Synset('cape_verde_monetary_unit.n.01'),cape_verde_monetary_unit.n.01
11589,Synset('chilean_monetary_unit.n.01'),chilean_monetary_unit.n.01
11590,Synset('chinese_monetary_unit.n.01'),chinese_monetary_unit.n.01
11591,Synset('colombian_monetary_unit.n.01'),colombian_monetary_unit.n.01
11592,Synset('costa_rican_monetary_unit.n.01'),costa_rican_monetary_unit.n.01
11593,Synset('cuban_monetary_unit.n.01'),cuban_monetary_unit.n.01
11594,Synset('cypriot_monetary_unit.n.01'),cypriot_monetary_unit.n.01
11595,Synset('czech_monetary_unit.n.01'),czech_monetary_unit.n.01
11596,Synset('danish_monetary_unit.n.01'),danish_monetary_unit.n.01
11597,Synset('dollar.n.01'),dollar.n.01
11598,Synset('dominican_monetary_unit.n.01'),dominican_monetary_unit.n.01
11599,Synset('dutch_monetary_unit.n.01'),dutch_monetary_unit.n.01
11600,Synset('ecuadoran_monetary_unit.n.01'),ecuadoran_monetary_unit.n.01
11601,Synset('egyptian_monetary_unit.n.01'),egyptian_monetary_unit.n.01
