,Synset,Name,1
118,Synset('blinker.n.02'),blinker.n.02,blinker
119,Synset('stoplight.n.01'),stoplight.n.01,stoplight
120,Synset('illustration.n.01'),illustration.n.01,illustration
121,Synset('bow.n.06'),bow.n.06,bow
122,Synset('curtsy.n.01'),curtsy.n.01,curtsy
123,Synset('electrocardiogram.n.01'),electrocardiogram.n.01,electrocardiogram
124,Synset('paragraph.n.01'),paragraph.n.01,paragraph
125,Synset('column.n.03'),column.n.03,column
126,Synset('row.n.05'),row.n.05,row
127,Synset('spectrum.n.01'),spectrum.n.01,spectrum
128,Synset('secondary.n.01'),secondary.n.01,secondary
129,Synset('breed.n.01'),breed.n.01,breed
130,Synset('caste.n.04'),caste.n.04,caste
131,Synset('flock.n.02'),flock.n.02,flock
132,Synset('herd.n.01'),herd.n.01,herd
133,Synset('pod.n.03'),pod.n.03,pod
134,Synset('warren.n.05'),warren.n.05,warren
135,Synset('pisces.n.04'),pisces.n.04,Pisces
136,Synset('phylum.n.02'),phylum.n.02,phylum
137,Synset('shariah.n.01'),shariah.n.01,shariah
138,Synset('estate_of_the_realm.n.01'),estate_of_the_realm.n.01,estate_of_the_realm
139,Synset('ninja.n.02'),ninja.n.02,ninja
140,Synset('homeless.n.02'),homeless.n.02,homeless
141,Synset('church.n.04'),church.n.04,church
142,Synset('jury.n.01'),jury.n.01,jury
143,Synset('panel.n.04'),panel.n.04,panel
144,Synset('ulema.n.01'),ulema.n.01,ulema
145,Synset('university.n.01'),university.n.01,university
146,Synset('vote.n.04'),vote.n.04,vote
147,Synset('audience.n.01'),audience.n.01,audience
148,Synset('cortege.n.02'),cortege.n.02,cortege
149,Synset('quorum.n.01'),quorum.n.01,quorum
150,Synset('totem.n.01'),totem.n.01,totem
151,Synset('boy_scouts.n.01'),boy_scouts.n.01,Boy_Scouts
152,Synset('tammany_hall.n.01'),tammany_hall.n.01,Tammany_Hall
153,Synset('mafia.n.02'),mafia.n.02,Mafia
154,Synset('conspiracy.n.03'),conspiracy.n.03,conspiracy
155,Synset('score.n.03'),score.n.03,score
156,Synset('bit.n.06'),bit.n.06,bit
157,Synset('megaflop.n.01'),megaflop.n.01,megaflop
158,Synset('point.n.10'),point.n.10,point
159,Synset('teraflop.n.01'),teraflop.n.01,teraflop
160,Synset('diameter.n.01'),diameter.n.01,diameter
161,Synset('radius.n.01'),radius.n.01,radius
162,Synset('day.n.04'),day.n.04,day
163,Synset('evening.n.03'),evening.n.03,evening
164,Synset('life.n.06'),life.n.06,life
165,Synset('overtime.n.02'),overtime.n.02,overtime
166,Synset('past.n.02'),past.n.02,past
167,Synset('study_hall.n.01'),study_hall.n.01,study_hall
168,Synset('term.n.02'),term.n.02,term
169,Synset('trimester.n.01'),trimester.n.01,trimester
170,Synset('weekend.n.01'),weekend.n.01,weekend
171,Synset('year.n.03'),year.n.03,year
172,Synset('shtik.n.01'),shtik.n.01,shtik
173,Synset('avoirdupois.n.01'),avoirdupois.n.01,avoirdupois
174,Synset('troy.n.01'),troy.n.01,troy
175,Synset('unconscious_mind.n.01'),unconscious_mind.n.01,unconscious_mind
176,Synset('episode.n.01'),episode.n.01,episode
177,Synset('meronymy.n.01'),meronymy.n.01,meronymy
178,Synset('gigahertz.n.01'),gigahertz.n.01,gigahertz
179,Synset('hertz.n.01'),hertz.n.01,hertz
180,Synset('seating.n.01'),seating.n.01,seating
181,Synset('heirloom.n.01'),heirloom.n.01,heirloom
182,Synset('inheritance.n.02'),inheritance.n.02,inheritance
183,Synset('nicotine.n.01'),nicotine.n.01,nicotine
184,Synset('vasopressin.n.01'),vasopressin.n.01,vasopressin
185,Synset('centrist.n.01'),centrist.n.01,centrist
186,Synset('enemy.n.02'),enemy.n.02,enemy
187,Synset('algerian.n.01'),algerian.n.01,Algerian
188,Synset('angolan.n.01'),angolan.n.01,Angolan
189,Synset('chewa.n.01'),chewa.n.01,Chewa
190,Synset('djiboutian.n.01'),djiboutian.n.01,Djiboutian
191,Synset('egyptian.n.01'),egyptian.n.01,Egyptian
192,Synset('ethiopian.n.01'),ethiopian.n.01,Ethiopian
193,Synset('ewe.n.01'),ewe.n.01,Ewe
194,Synset('kenyan.n.01'),kenyan.n.01,Kenyan
195,Synset('libyan.n.01'),libyan.n.01,Libyan
196,Synset('moroccan.n.01'),moroccan.n.01,Moroccan
197,Synset('mozambican.n.01'),mozambican.n.01,Mozambican
198,Synset('nigerian.n.01'),nigerian.n.01,Nigerian
199,Synset('rwandan.n.01'),rwandan.n.01,Rwandan
200,Synset('somalian.n.01'),somalian.n.01,Somalian
201,Synset('swazi.n.01'),swazi.n.01,Swazi
202,Synset('tuareg.n.01'),tuareg.n.01,Tuareg
203,Synset('tunisian.n.01'),tunisian.n.01,Tunisian
204,Synset('ugandan.n.01'),ugandan.n.01,Ugandan
205,Synset('xhosa.n.01'),xhosa.n.01,Xhosa
206,Synset('zambian.n.01'),zambian.n.01,Zambian
207,Synset('zulu.n.01'),zulu.n.01,Zulu
208,Synset('misfit.n.01'),misfit.n.01,misfit
209,Synset('client.n.01'),client.n.01,client
210,Synset('patient.n.01'),patient.n.01,patient
211,Synset('layman.n.01'),layman.n.01,layman
212,Synset('proletarian.n.01'),proletarian.n.01,proletarian
213,Synset('roarer.n.01'),roarer.n.01,roarer
214,Synset('programmer.n.01'),programmer.n.01,programmer
215,Synset('technocrat.n.01'),technocrat.n.01,technocrat
216,Synset('cultist.n.02'),cultist.n.02,cultist
217,Synset('loner.n.01'),loner.n.01,loner
218,Synset('australian.n.01'),australian.n.01,Australian
219,Synset('austronesian.n.01'),austronesian.n.01,Austronesian
220,Synset('new_zealander.n.01'),new_zealander.n.01,New_Zealander
221,Synset('imam.n.01'),imam.n.01,imam
222,Synset('citizen.n.01'),citizen.n.01,citizen
223,Synset('filipino.n.01'),filipino.n.01,Filipino
224,Synset('levantine.n.01'),levantine.n.01,Levantine
225,Synset('hindu.n.02'),hindu.n.02,Hindu
226,Synset('bourbon.n.03'),bourbon.n.03,Bourbon
227,Synset('caliph.n.01'),caliph.n.01,caliph
228,Synset('hanoverian.n.01'),hanoverian.n.01,Hanoverian
229,Synset('stuart.n.02'),stuart.n.02,Stuart
230,Synset('tudor.n.03'),tudor.n.03,Tudor
231,Synset('croatian.n.01'),croatian.n.01,Croatian
232,Synset('serbian.n.01'),serbian.n.01,Serbian
233,Synset('homeless.n.01'),homeless.n.01,homeless
234,Synset('guerrilla.n.01'),guerrilla.n.01,guerrilla
235,Synset('samurai.n.01'),samurai.n.01,samurai
236,Synset('circassian.n.01'),circassian.n.01,Circassian
