,index,TotalCounts
336,some,14039.0
337,as_well,2365.0
338,whole,297.0
339,lot,604.0
340,loves,173.0
341,books,665.0
342,absolutely,112.0
343,adores,3.0
344,as,2600.0
345,much,1496.0
346,fun,399.0
347,out_of,1597.0
348,couple,293.0
349,boxes,106.0
350,crayons,273.0
351,pens,90.0
352,getting,2560.0
353,dolls,71.0
354,babies,215.0
355,Christmas,627.0
356,giving,413.0
357,awful,325.0
358,plenty,120.0
359,doesn't,4684.0
360,interested,129.0
361,lots_of,1213.0
362,minute,1803.0
363,bowl,380.0
364,put,21022.0
365,why,7079.0
366,back,7240.0
367,idea,570.0
368,pretty,584.0
369,jigsaws,145.0
370,first,2277.0
371,ones,2252.0
372,nothing,810.0
373,advanced,7.0
374,of_course,101.0
375,I_mean,451.0
376,still,1459.0
377,young,172.0
378,through,1515.0
379,phases,1.0
380,show,1734.0
381,exactly,178.0
382,child,226.0
383,storing,2.0
384,stuff,525.0
385,if,7354.0
386,year,483.0
387,high,342.0
388,chair,1446.0
389,doll,499.0
390,pram,558.0
391,mean,1192.0
392,doll's,143.0
393,buy,1136.0
394,looking,1824.0
395,people,1308.0
396,said,2539.0
397,petite,4.0
398,Barbara's,17.0
399,small,765.0
400,tiny,465.0
401,looked,337.0
402,awfully,46.0
403,Early_Learning_Centre,14.0
404,place,493.0
405,given,140.0
406,give,3383.0
407,other,4539.0
408,birthday,1102.0
409,bigger,951.0
410,pull,1385.0
411,there're,43.0
412,youngest,22.0
413,cousins,20.0
414,passed,23.0
415,mummie,2363.0
416,hands,1165.0
417,brilliant,612.0
418,/.,4283.0
419,Spot,208.0
420,pictures,682.0
421,lift,520.0
422,flaps,7.0
423,house,4342.0
424,than,931.0
425,I'd,608.0
426,same,1142.0
427,less,48.0
428,size,215.0
429,expensive,56.0
430,plus,26.0
431,lightweight,1.0
432,bang,1020.0
433,furniture,30.0
434,lions,150.0
435,lion,862.0
436,clown,223.0
437,clever,1148.0
438,slide,603.0
439,feel,469.0
440,one's,1839.0
441,town,197.0
442,Saturday,263.0
443,probably,820.0
444,suitable,3.0
445,whizzes,3.0
446,round,4019.0
447,pulls,27.0
448,//.,4477.0
449,train,3850.0
450,sets,20.0
451,trucks,348.0
452,diggers,42.0
453,we've,2138.0
454,honest,50.0
455,mother,214.0
456,bought,693.0
457,aye,1201.0
458,sort_of,191.0
459,buying,136.0
460,time,3155.0
461,number,607.0
462,comes,1029.0
463,along,441.0
464,Thomas_The_Tank_Engines,1.0
465,sort,709.0
466,needta,1250.0
467,older,123.0
468,Allgo,1.0
469,feed,348.0
470,food,1117.0
471,goes,3507.0
472,its,619.0
473,mouth,1263.0
474,nurse's,17.0
475,uniform,23.0
476,basically,21.0
477,granny's,37.0
478,finished,1701.0
479,told,799.0
480,far,349.0
481,spoiled,12.0
482,tells,49.0
483,teddy,1335.0
484,Teddy,45.0
485,umbrella,140.0
486,caravan,88.0
487,",",53192.0
488,imagine,68.0
489,saying,903.0
490,fire,574.0
491,engine,442.0
492,foal,47.0
493,clear,84.0
494,putting,1319.0
495,talks,35.0
496,blessing,2.0
497,heaven,14.0
498,comparing,3.0
499,kids,169.0
500,coming,2855.0
501,clearer,6.0
502,father,64.0
503,law,45.0
504,keep,1465.0
505,afternoon,227.0
506,chitters,2.0
507,away,4513.0
508,wouldn't,974.0
509,affect,4.0
510,how,4372.0
511,articulate,1.0
512,pronunciation,2.0
513,makes,394.0
514,job,192.0
515,easier,195.0
516,listening,169.0
517,tapes,45.0
518,moment,341.0
519,four,2099.0
520,honestly,198.0
521,speech,23.0
522,therapy,2.0
523,word,367.0
524,visits,5.0
525,myself,314.0
526,project,9.0
527,tape,577.0
528,point,189.0
529,using,128.0
530,can't,8961.0
531,own,746.0
532,research,1.0
533,based,4.0
534,Jordanstown,9.0
535,we're,2250.0
536,Department_Of_Communication,1.0
537,related,2.0
538,therapists,1.0
539,academic,1.0
540,side,1004.0
541,linguistics,1.0
542,study,17.0
543,language,27.0
544,general,11.0
545,done,3991.0
546,children's,44.0
547,hasn't,1652.0
548,any,3309.0
549,Northern_Ireland,1.0
550,children,815.0
551,acquire,3.0
552,grammar,8.0
553,Belfast,22.0
554,English,18.0
555,between,100.0
556,age,148.0
557,actually,1179.0
558,years,170.0
559,words,137.0
560,together,1082.0
561,starting,117.0
562,Peter,408.0
563,married,84.0
564,before,1222.0
565,his,7038.0
566,marriage,2.0
567,Linda,51.0
568,turned,159.0
569,dyslexic,1.0
570,bright,94.0
571,article,1.0
572,started,295.0
573,secondary,3.0
574,happened,1555.0
575,discover,5.0
576,eight,632.0
577,nine,669.0
578,take,5320.0
579,frog,342.0
580,talking,707.0
581,wasn't,1740.0
582,seemed,36.0
583,once,357.0
584,particularly,20.0
585,drink,1973.0
586,Coke,7.0
587,coke,66.0
588,marvelous,21.0
589,sentence,9.0
590,ridiculous,25.0
591,girl's,206.0
592,Keltie,1.0
593,Daddy,3993.0
594,allow,10.0
595,let,2984.0
596,drunk,53.0
597,stage,89.0
598,..?,248.0
599,ten,739.0
600,sentences,16.0
601,walk,856.0
602,quick,613.0
603,walker,7.0
604,hopeless,36.0
605,am,1389.0
606,trying,843.0
607,difficult,431.0
608,remember,2081.0
609,certainly,93.0
610,developed,9.0
611,yummy,431.0
612,eh,221.0
613,teddies,28.0
614,yours,1325.0
615,Snow,2.0
616,White,6.0
617,second,315.0
618,six,1013.0
619,within,24.0
620,could,3032.0
621,sing,929.0
622,songs,115.0
623,watching,427.0
624,love,1155.0
625,animated,2.0
626,short,144.0
627,clips,7.0
628,concentrating,12.0
629,couldn't,954.0
630,single,28.0
631,ja,3.0
632,German,7.0
633,law's,7.0
634,God,167.0
635,view,18.0
636,quiet,301.0
637,came,1089.0
638,toyed,5.0
639,moving,242.0
640,room,1368.0
641,space,322.0
642,Doagh,3.0
643,Burnside,1.0
644,direction,20.0
645,somewhere,635.0
646,money,939.0
647,means,171.0
648,ever,673.0
649,wanna,9915.0
650,mortgage,7.0
651,affordable,1.0
652,better,3281.0
653,enjoy,101.0
654,yourselves,15.0
655,struggling,11.0
656,Milky_Way,5.0
657,oh_my_goodness,125.0
658,sick,391.0
659,favorite,592.0
660,later,1134.0
661,normally,174.0
662,available,2.0
663,Thursdays,8.0
664,Thursday,109.0
665,suits,15.0
666,fine,350.0
667,especially,74.0
668,try,1766.0
669,morning,1280.0
670,dear,4931.0
671,walked,95.0
672,tomorrow,433.0
673,it'll,778.0
674,wonder,496.0
675,bother,106.0
676,problem,206.0
677,should,1505.0
678,weeks,287.0
679,whatever,195.0
680,anyway,651.0
681,mind,976.0
682,paper,835.0
683,video,255.0
684,heard,200.0
685,whether,232.0
686,never,1236.0
687,notice,69.0
688,compare,2.0
689,Rachel,458.0
690,true,76.0
691,colors,442.0
692,tissue,349.0
693,around,697.0
694,silly,1319.0
695,dirty,875.0
696,leave,1353.0
697,sitting,1422.0
698,thirteen,83.0
699,noticing,1.0
700,write,580.0
701,new,1152.0
702,special,306.0
703,fabulous,33.0
704,numbers,181.0
705,cmon,80.0
706,count,458.0
707,genius,5.0
708,happening,328.0
709,ring,418.0
710,next,2133.0
711,duck,996.0
712,quack,607.0
713,nap,40.0
714,swan,41.0
715,Bangor,15.0
716,swans,15.0
717,socks,504.0
718,pants,359.0
719,trousers,773.0
720,where's,7989.0
721,Dadddy,1.0
722,doing,7525.0
723,brekkie,6.0
724,breakfast,688.0
725,sausages,311.0
726,else,3495.0
727,Rice_Krispies,8.0
728,Goldilocks,56.0
729,ate,260.0
730,porridge,110.0
731,hot,1291.0
732,burny,22.0
733,bears,124.0
734,head,2044.0
735,hear,902.0
736,either,493.0
737,bobble,160.0
738,hair,2153.0
739,wear,550.0
740,pulled,195.0
741,such,226.0
742,sleep,2341.0
743,tired,1208.0
744,poster,9.0
745,accident,163.0
746,stuck,1857.0
747,joined,17.0
748,Books_For_Children,1.0
749,while,810.0
750,apples,249.0
751,fall,2245.0
752,fell,755.0
753,picking,146.0
754,presents,206.0
755,inside,777.0
756,box,2778.0
757,perhaps,515.0
758,Santa's,40.0
759,Santa,280.0
760,toy,488.0
761,sweeties,283.0
762,dolly,2088.0
763,he'll,608.0
764,cake,1754.0
765,blow,659.0
766,candles,166.0
767,vocabulary,12.0
768,super,150.0
769,subject,10.0
770,outstanding,2.0
771,doddle,1.0
772,tv,149.0
773,tidying,116.0
774,made,1220.0
775,mess,419.0
776,stay,1082.0
777,morrow,2.0
778,boat,1114.0
779,yo,24.0
780,dwarfs,8.0
781,hi,261.0
782,ho,143.0
783,showing,78.0
784,indeed,223.0
785,television,277.0
786,night,1160.0
787,Home_And_Away,1.0
788,football,354.0
789,missing,322.0
790,Adam's,69.0
791,picture,1297.0
792,hm,3663.0
793,boys,558.0
794,mm,799.0
795,sleeping,601.0
796,Kiltie,1.0
797,bone,107.0
798,doubting,1.0
799,range,3.0
800,pacifier,33.0
801,page,703.0
802,bricks,1466.0
803,bear,786.0
804,mummie's,361.0
805,peeping,99.0
806,door,2361.0
807,taking,758.0
808,clothes,955.0
809,drawer,56.0
810,untidy,11.0
811,throws,18.0
812,shoes,1391.0
813,somebody,701.0
814,bedroom,400.0
815,tidy,316.0
816,bath,1028.0
817,why's,138.0
818,washing,480.0
819,daddy,2703.0
820,himself,155.0
821,mirror,131.0
822,shelf,64.0
823,standing,552.0
824,tall,340.0
825,wash,954.0
826,allowed,290.0
