,Term,RawCounts
4483,agility,3
4484,darted,26
4485,bronze,2
4486,plinth,2
4487,brazen,1
4488,mighty,25
4489,rode,29
4490,horse,179
4491,lithe,1
4492,strides,6
4493,Frederick,23
4494,Great,43
4495,unreeling,1
4496,lesson,62
4497,rote,1
4498,King,155
4499,frieze,2
4500,warrior-king,1
4501,General,8
4502,Yorck,1
4503,Blücher,1
4504,Scharnhorst,1
4505,principal,2
4506,generals,3
4507,Liberation,1
4508,occupation,3
4509,1813,1
4510,representatives,1
4511,Prussian,2
4512,ruling,1
4513,role,6
4514,national,11
4515,aspirations,1
4516,sacred,9
4517,object,24
4518,oneself,3
4519,meaninglessly,1
4520,saunter,1
4521,alacrity,1
4522,guided,5
4523,lane,78
4524,impressive,11
4525,framed,13
4526,Catholic,4
4527,Opera,2
4528,House,34
4529,Royal,13
4530,Library,4
4531,damaged,16
4532,shelling,1
4533,meritorious,1
4534,August-Bebel-Platz,1
4535,cobbles,3
4536,plaque,4
4537,vulpine,1
4538,tenth,4
4539,1933,1
4540,spirit,39
4541,gangsters,2
4542,Nazi,2
4543,burned,33
4544,noblest,1
4545,Literature,2
4546,burning,61
4547,books,166
4548,everlastingly,1
4549,guard,65
4550,Imperialism,1
4551,Platz,2
4552,actual,9
4553,jack-booted,1
4554,thugs,1
4555,shirts,3
4556,swastikas,2
4557,heaving,21
4558,heaping,3
4559,heritage,1
4560,pyre,1
4561,gloating,2
4562,flames,18
4563,consumed,4
4564,volume,19
4565,Heine,1
4566,Schiller,1
4567,Brecht,1
4568,Thomas,9
4569,Mann,1
4570,Einstein,2
4571,Freud,1
4572,history,29
4573,poetry,10
4574,novels,3
4575,science,4
4576,philosophers,2
4577,psychologists,1
4578,betterment,1
4579,brutes,4
4580,ignorance,11
4581,dull,24
4582,limited,7
4583,beasts,10
4584,inspired,5
4585,resentment,9
4586,vile,6
4587,prejudice,1
4588,hatred,44
4589,victims,7
4590,poverty,2
4591,seeking,7
4592,pastor,1
4593,tortured,3
4594,executed,3
4595,Gestapo,1
4596,First,50
4597,Jews,6
4598,Communists,2
4599,Socialists,1
4600,Trades,1
4601,Unionists,1
4602,defend,9
4603,elegant,17
4604,furs,2
4605,verge,5
4606,thrown,45
4607,sequence,8
4608,incinerators,1
4609,products,5
4610,brains,25
4611,burn,36
4612,humanity,4
4613,gipsies,14
4614,mentally,4
4615,handicapped,1
4616,Poles,1
4617,Untermensch,1
4618,subhuman,3
4619,blond,4
4620,skin,79
4621,vaguest,2
4622,potent,1
4623,myths,4
4624,distinguished,3
4625,Jew,2
4626,Pole,12
4627,African,17
4628,Indian,19
4629,born,68
4630,camps,2
4631,Europe,21
4632,deeply,35
4633,try,277
4634,fouled,3
4635,skies,6
4636,notable,1
4637,Awful,2
4638,chilled,5
4639,brilliant,45
4640,buildings,43
4641,chiaroscuro,1
4642,stone,136
4643,blindingly,2
4644,gay,9
4645,spring,65
4646,linden,2
4647,trees,186
4648,cafés,6
4649,recalling,3
4650,bloomed,1
4651,whole-hearted,1
4652,lavishing,1
4653,blatant,2
4654,post-war,1
4655,Nowadays,1
4656,Alexanderplatz,2
4657,clutched,25
4658,negotiated,2
4659,patch,38
4660,Embassy,4
4661,italics,2
4662,speculative,1
4663,loomed,18
4664,battleship,7
4665,flotilla,1
4666,cargo,9
4667,boats,18
4668,flag,19
4669,emblazoned,1
4670,British,20
4671,flags,36
4672,denying,3
4673,lilliputian,1
4674,parked,25
4675,soldiers,28
4676,olive,4
4677,canteens,1
4678,friend,225
4679,Holding,11
4680,troops,6
4681,soldier,18
4682,usually,90
4683,countryside,13
4684,comradely,1
4685,title,8
4686,Grotewohlstrasse,2
4687,frost-laced,1
4688,gravel,12
4689,triumphal,1
4690,arch,10
4691,horses,116
4692,goddess,7
4693,vying,1
4694,dividers,1
4695,halting,1
4696,abruptness,1
4697,Finis,1
4698,fragile,11
4699,fence,68
4700,drab,5
4701,Germanys,1
4702,Brandenburger,1
4703,Tor,1
4704,Gate,6
4705,Peace,7
4706,Anti-Fascist,3
4707,barrier,7
4708,prevent,12
4709,Fascist,1
4710,agents,10
4711,entering,7
4712,committing,2
4713,acts,5
4714,terrorism,1
4715,precaution,1
4716,Barrier,2
4717,Looking,33
4718,plaza,1
4719,insignificant,7
4720,bold,17
4721,conception,1
4722,stroke,10
4723,genius,14
4724,posing,3
4725,kneeling,16
4726,tallest,10
4727,beaming,7
4728,photographer,2
4729,picture,145
4730,focus,14
4731,tourists,4
4732,Tourists,1
4733,Unnervingly,1
4734,high-pitched,11
4735,hyena-like,1
4736,underneath,42
4737,hee,6
4738,Hee,2
4739,Adolf,10
4740,relished,2
4741,dawning,3
4742,violet,2
4743,grave,25
4744,concerned,22
4745,kindly,45
4746,Excuse,20
4747,undignified,1
4748,tortoise,3
4749,shell,15
4750,Instinctively,4
4751,Understanding,2
4752,cadet,1
4753,photograph,38
4754,time-exposure,1
4755,Seydlitz,1
4756,Relief,6
4757,flooded,16
4758,slapped,17
4759,honoured,3
4760,contrite,1
4761,forgiven,8
4762,mistake,50
4763,misunderstandings,1
4764,generation,4
4765,gap,41
4766,Tiergarten,1
4767,encouraging,12
4768,twinkled,5
4769,Treptower,3
4770,Park,34
4771,Treptow,2
4772,Pleasure,2
4773,Memorial,9
4774,efficiency,3
4775,map,61
4776,route,27
4777,behaviour,23
4778,miraculous,3
4779,smoothness,2
4780,Leipziger,1
4781,Strasse,1
4782,warren,2
4783,Determined,1
4784,lolling,4
4785,lazily,6
4786,industrialist,1
4787,zigzagged,1
4788,run-down,4
4789,lining,7
4790,side-streets,1
4791,unobtrusive,2
4792,Elsenstrasse,1
4793,tugs,1
4794,crunching,5
4795,Siemens,1
4796,portraits,2
4797,tree-lined,2
4798,Am,20
4799,car-park,3
4800,crystalline,1
4801,lined,33
4802,enclosed,7
4803,garden,209
4804,middle,148
4805,statue,13
4806,weeping,29
4807,slain,1
4808,son,185
4809,Motherland,3
4810,mourning,4
4811,queried,2
4812,query,1
4813,Fatherland,1
4814,memorial,2
4815,militarism,1
4816,flight,27
4817,shallow,19
4818,steps,91
4819,jutted,3
4820,triangles,37
4821,granite,2
4822,Red,45
4823,dipped,13
4824,funereal,1
4825,Step,5
4826,ascended,3
4827,glazed,6
4828,shroud,3
4829,loom,3
4830,helmeted,1
4831,flowing,7
4832,cape,5
4833,sword,25
4834,beneath,55
4835,booted,2
4836,visible,11
4837,swastika,2
4838,grassy,13
4839,Between,12
4840,sunken,3
4841,sides,105
4842,punctuated,2
4843,slabs,7
4844,dense,10
4845,leafless,1
4846,damped,1
4847,grinding,10
4848,roar,19
4849,infantryman,1
4850,corners,22
4851,plump,19
4852,shrunken,3
4853,withered,4
4854,apples,41
4855,shape,95
4856,fighting,54
4857,recognise,11
4858,tactless,1
4859,cover,67
4860,awkwardness,4
4861,carrying,65
4862,rescued,10
4863,inscriptions,3
4864,carving,1
4865,glorious,19
4866,observe,4
4867,Stalin,14
4868,Josef,3
4869,cackled,4
4870,mirthlessly,1
4871,Heaven,9
4872,wonderment,2
4873,public,26
4874,Albania,2
4875,embarrassed,32
4876,irony,1
4877,launching,3
4878,deviations,1
4879,legality,1
4880,heroic,4
4881,peoples,2
4882,anti-Fascist,1
4883,describing,2
4884,slab,8
4885,Tribute,3
4886,airmen,3
4887,Air,6
4888,Force,2
4889,peasants,2
4890,eerie,11
4891,glaze,1
4892,sightlessly,1
4893,confessed,5
4894,mosaics,1
4895,Mosaics,1
4896,mausoleum,1
4897,"5,000",2
4898,Killed,2
4899,Battle,10
4900,pursed,7
4901,"100,000",1
4902,lamely,7
4903,cemeteries,1
4904,draw,73
4905,tribute,1
4906,workers,29
4907,doctors,15
4908,nurses,17
4909,re-climbed,1
4910,sour,22
4911,timidly,5
4912,inspiring,1
4913,spat,23
4914,return,66
4915,jolly,27
4916,birds,106
4917,None,35
4918,Philip,842
4919,believing,16
4920,shock,65
4921,Jubilee,28
4922,Wood,44
4923,cool,45
4924,cucumber,7
4925,helmet,52
4926,cliff,16
4927,stooping,4
4928,bank,105
4929,tipped,19
4930,splash,17
4931,rings,28
4932,spread,54
4933,nearly,183
4934,pheasant,21
4935,squawked,8
4936,Keeping,6
4937,hidden,60
4938,scare,16
4939,rotten,29
4940,log,21
4941,crumbling,8
4942,spinning,11
4943,landed,55
4944,crouched,36
4945,beeches,2
4946,reaction,24
4947,scared,114
4948,shrill,15
4949,whistle,14
4950,unnerved,3
4951,signalling,16
4952,mates,12
4953,ambush,9
4954,luring,2
4955,wet,96
4956,leaves,120
4957,shadowy,10
4958,deathly,4
4959,aeroplane,15
4960,overhead,22
4961,plane,97
4962,planes,19
4963,enemy,41
4964,stick,80
4965,roots,18
4966,direction,96
4967,hurled,9
4968,heavier,7
4969,bungled,3
4970,throw,65
4971,hiding-place,5
4972,spotted,22
4973,knobbles,1
4974,bark,25
4975,straight,206
4976,darting,4
4977,reckoned,16
4978,sandy,7
4979,ditch,17
4980,pools,19
4981,clamping,1
4982,climbing,50
4983,shifting,14
4984,scrambling,9
4985,slope,38
4986,cliffs,10
4987,hold,170
4988,fancy,43
4989,size,70
4990,handful,24
4991,beech-mast,1
4992,trick,22
4993,threatening,21
4994,twisting,21
4995,inspecting,6
4996,bullet,6
4997,holes,51
4998,Guard,3
4999,abroad,15
5000,Nobody,93
5001,inspected,5
5002,Tiddlers,1
5003,Barry,52
5004,organized,7
5005,ambushes,1
5006,portakabin,1
5007,class-room,7
5008,Black,30
5009,Dad,340
5010,d,33
5011,hide,102
5012,sprung,7
5013,damp,57
5014,anorak,33
5015,Thirkett,21
5016,Unless,16
5017,biked,1
5018,carrier,8
5019,bag,148
5020,crawled,43
5021,wire-cutters,4
5022,wood,165
5023,yesterday,80
5024,messed,6
5025,loosen,3
5026,trap,44
5027,sticks,38
5028,wired,1
5029,pyramid,3
5030,propped,25
5031,twig,17
5032,attached,17
5033,string,46
5034,bird,137
5035,framework,4
5036,escape,93
5037,clearing,35
5038,gale,4
5039,Finding,2
5040,length,90
5041,dared,37
5042,shed,92
5043,thickish,1
5044,sod,2
5045,lengths,39
5046,metre,23
5047,shorter,17
5048,Twigs,1
5049,bits,82
5050,strong,128
5051,peaceful,20
5052,wherever,22
5053,armful,2
5054,recognized,31
5055,Mrs,838
5056,Wright,157
5057,feeding-place,6
5058,Caspar,143
5059,bounded,17
5060,Jack,521
5061,shepherding,1
5062,shoot,55
5063,ewes,3
5064,hens,44
5065,sheep,53
5066,tugging,15
5067,camouflage,10
5068,netting,5
5069,branches,58
5070,net,19
5071,tweaking,1
5072,Course,16
5073,bent,73
5074,note-book,10
5075,pages,41
5076,page,74
5077,cock,7
5078,coloured,78
5079,bombers,1
5080,crunched-up,1
5081,ball,85
5082,throwing,45
5083,unravelled,1
5084,neatly,23
5085,Anybody,6
5086,knows,112
5087,Private,6
5088,Somewhere,18
5089,imitated,3
5090,d',64
5091,pointing,70
5092,Sh,3
5093,hen,11
5094,feeding-ground,9
5095,earsplittingly,1
5096,loud,89
5097,imitation,10
5098,flew,100
5099,yelled,85
5100,property,19
5101,angry,135
5102,thumped,8
5103,Had,37
5104,lure,5
5105,feeding,26
5106,nicked,16
5107,gasped,54
5108,bleeding,10
5109,licking,12
5110,Down,30
5111,Little,194
5112,Knoll,13
5113,Beech,10
5114,Place,22
5115,loosened,2
5116,grip,38
5117,Garth,5
5118,beech-tree,4
5119,gun,97
5120,Bang,3
5121,bang,14
5122,BANG,2
5123,squawking,6
5124,lunged,4
5125,strength,63
5126,murderer,3
5127,shooter,1
5128,freckles,8
5129,fits,10
5130,hospital,84
5131,Probably,17
5132,collected,27
5133,Middle,7
5134,chewed,14
5135,destroyed,9
5136,acid,7
5137,Mills,7
5138,Butler,3
5139,neither,74
5140,Sometimes,63
5141,Absence,1
5142,mashing,1
5143,faking,1
5144,absence,11
5145,guts,12
5146,imitating,2
5147,Mum,427
5148,signature,1
5149,scrumpled,3
5150,basket,85
5151,classes,11
5152,manage,59
5153,minded,9
5154,fancied,7
5155,handle,63
5156,Anyone,27
5157,sorting,5
5158,stomach,64
5159,camp,30
5160,nipped,4
5161,cutters,9
5162,angles,90
5163,overlapping,2
5164,twist,13
5165,fix,17
5166,wirecutters,1
5167,nicking,6
5168,grass,119
5169,cage,40
5170,mice,31
5171,parrot,21
5172,mad,127
5173,clipped,13
5174,fixing,15
5175,distracting,4
5176,whistling,12
5177,Mr,1146
5178,Hyde,6
5179,supposed,78
5180,persevered,2
5181,bend,25
5182,thicker,8
5183,pieces,88
5184,fiddling,12
5185,directions,26
5186,worst,58
5187,branch,72
5188,tom,2
5189,violently,16
5190,finds,21
5191,owns,9
5192,Threatening,1
5193,lop-sided,5
5194,contraption,4
5195,diagram,32
5196,spoilt,10
5197,thief,32
5198,tarantula,2
5199,cost,38
5200,kicked,43
5201,scattering,11
5202,upsetting,4
5203,rounding,2
5204,field,122
5205,scaring,6
5206,Rabbits,4
5207,crept,29
5208,Seeing,20
5209,dream,54
5210,Fancy,14
5211,rabbits,7
5212,snares,1
5213,wreck,7
5214,uneven,6
5215,thickness,4
5216,loosely,4
5217,Plenty,7
5218,scornfully,10
5219,saws,2
5220,Enemy,1
5221,Those,36
5222,R.A.F.,2
5223,laying,15
5224,Messerschmitt,1
5225,initialled,1
5226,L.D.,1
5227,Lee,826
5228,Dent,1
5229,imagined,32
5230,sorts,36
5231,reconnaissance,1
5232,flights,6
5233,spying,4
5234,crashed,23
5235,pilot,34
5236,pretending,36
5237,strangely,13
5238,queer,44
5239,thundering,8
5240,galloping,9
5241,quicker,10
5242,bracken,14
5243,clambered,9
5244,tearing,17
5245,bunched,2
5246,ewe,4
5247,lambs,18
5248,stopping,41
5249,Call,14
5250,lamb,34
5251,climb,60
5252,pull,81
5253,gate,206
5254,fired,13
5255,chasing,19
5256,Floss,6
5257,witheringly,2
5258,warpath,1
5259,killer,7
5260,bounding,8
5261,Shut,39
5262,straining,9
5263,Help,40
5264,leaping,20
5265,wrench,8
5266,studded,2
5267,break,70
5268,report,15
5269,fly,70
5270,stricken,4
5271,0,33
5272,K.,2
5273,barrel,15
5274,spy,7
5275,rushing,19
5276,drily,4
5277,vet,5
5278,hates,13
5279,crying,81
5280,magpie,15
5281,tangle,9
5282,fallen,62
5283,below,127
5284,Twist,5
5285,loop,15
5286,struggling,35
5287,re,3
5288,killers,3
5289,magpies,3
5290,managed,99
5291,makeshift,4
5292,colours,39
5293,petrol,13
5294,baby,146
5295,nests,14
5296,Last,38
5297,blackbird,8
5298,nest,41
5299,goal-post,1
5300,playing-fields,1
5301,football,17
5302,parent,8
5303,frightful,6
5304,skinny,21
5305,sniffing,6
5306,hoisted,9
5307,leapt,56
5308,vicious,10
5309,rid,44
5310,look-out,4
5311,grains,5
5312,corn,27
5313,none,74
5314,howled,11
5315,wailing,8
5316,howling,10
5317,Mums,4
5318,Everything,33
5319,closing,28
5320,weaker,4
5321,notebook,13
5322,Walter,70
5323,fork,32
5324,sausage,10
5325,mash,5
5326,peas,13
5327,explain,95
5328,popular,20
5329,vision,15
5330,knife,87
5331,lemonade,14
5332,violent,20
5333,speared,2
5334,trailed,21
5335,spoiling,7
5336,pattern,41
5337,Whoever,12
5338,owt,11
5339,elaborate,6
5340,Up,38
5341,i,4
5342,dogs,66
5343,Yorkshire,5
5344,Aye,67
5345,spaghetti,6
5346,junction,6
5347,fetch,55
5348,Apart,13
5349,messing,8
5350,scraped,14
5351,swallowed,45
5352,fast,156
5353,treacle,5
5354,tart,6
5355,pudding,11
5356,slice,37
5357,hungry,61
5358,garage,24
5359,greasy,18
5360,pastry,14
5361,crumbled,4
5362,obvious,46
5363,nick,16
5364,gates,43
5365,shutting,15
5366,stifling,4
5367,village,150
5368,arrangement,16
5369,danger,52
5370,roads,26
5371,barn,29
5372,burgled,4
5373,dental,1
5374,surgery,9
5375,outskirts,6
5376,ordinary,49
5377,waiting-room,9
5378,downstairs,57
5379,drill,12
5380,treatment,11
5381,names,73
5382,Once,76
5383,Field,7
5384,dentist,9
5385,tulips,2
5386,blamed,9
5387,grow,82
5388,measured,15
5389,watch-strap,1
5390,dialling,6
5391,electrician,1
5392,acted,7
5393,secretive,2
5394,choose,54
5395,whispers,5
5396,shop,139
5397,picnic,26
5398,toadstools,3
5399,spots,21
5400,name-tape,3
5401,sock,8
5402,Polly,28
5403,Scott,4
5404,parrots,5
5405,daffodils,8
5406,relented,3
5407,Easter,12
5408,sold,45
5409,pet,40
5410,curtain,24
5411,checked,36
5412,carne,5
5413,Two-thirty,1
5414,Moira,2
5415,assistant,13
5416,Sports,8
5417,holidays,23
5418,estate,45
5419,farthest,5
5420,Luckily,19
5421,Butlers,3
5422,Number,13
5423,forty-five,6
5424,Hill,40
5425,View,14
5426,Road,17
5427,forty-eight,2
5428,gardens,24
5429,pockets,30
5430,fences,11
5431,remains,17
5432,snowman,2
5433,everywhere,38
5434,toy,10
5435,wigwam,4
5436,arrow,19
5437,rubber,19
5438,lift,77
5439,lacy,6
5440,leant,14
5441,BMX,1
5442,wheelies,2
5443,steep,24
5444,recreation,2
5445,bird-cage,1
5446,budgie,16
5447,sale,23
5448,advertized,1
5449,caged,3
5450,owned,12
5451,door-bell,2
5452,chimes,1
5453,buds,3
5454,plant,41
5455,budgerigar,5
5456,treating,7
5457,tickling,7
5458,upstairs,64
5459,staircase,10
5460,built-in,2
5461,afford,26
5462,sell,45
5463,Out,48
5464,mending,8
5465,chain,28
5466,rigid,26
5467,Further,4
5468,china,16
5469,blotchy,3
5470,Opposite,1
5471,smaller,62
5472,Propped,1
5473,window-sill,9
5474,postcard,14
5475,bedrooms,11
5476,nowhere,36
5477,Nowhere,2
5478,knoll,1
5479,perch,8
5480,hop,8
5481,monster,34
5482,mask,9
5483,flattened,14
5484,Joey,4
5485,arrows,11
5486,sticking,29
5487,chalk,30
5488,Hopscotch,1
5489,chalking,1
5490,squares,20
5491,hopscotch,1
5492,NUTCASE,1
5493,suction,1
5494,Winding,1
5495,stubbornness,1
5496,objected,4
5497,spending,10
5498,loads,14
5499,Dennis,5
5500,reckon,37
5501,Den,1
5502,penny,16
5503,Stop,68
5504,wound,34
5505,lots,86
5506,Rebel,21
5507,collect,21
5508,Joyce,5
5509,hunched,19
5510,headache,17
5511,Gets,3
5512,headaches,4
5513,specs,2
5514,short-sighted,2
5515,creeps,4
5516,brake,5
5517,avoid,13
5518,twisted,34
5519,identical,7
5520,clearly,59
5521,Dogs,8
5522,wander,8
5523,entrance,48
5524,lobby,2
5525,Agents,1
5526,half-five,1
5527,phoning,7
5528,tired,121
5529,throbbing,6
5530,firing,1
5531,make-believe,4
5532,kick,20
5533,playground,37
5534,Bad,13
5535,flicking,5
5536,records,8
5537,thankful,12
5538,town,123
5539,market-place,2
5540,cars,62
5541,sack,22
5542,grain,19
5543,box,167
5544,cartridges,7
5545,rats,17
5546,hen-food,2
5547,pinched,18
5548,spilt,11
5549,sacks,21
5550,button,17
5551,pelican,1
5552,crossing,22
5553,check,44
5554,flak,2
5555,parking,4
5556,space,96
5557,driving,56
5558,eggs,125
5559,eat,169
5560,objection,4
5561,barked,41
5562,loose,68
5563,Atherton,13
5564,detour,3
5565,dreading,3
5566,faster,60
5567,speed,63
5568,covered,117
5569,valuable,16
5570,yawn,4
5571,pot-holes,1
5572,masses,9
5573,isolated,5
5574,untidy,11
5575,key,46
5576,invalid,10
5577,wheel-chair,1
5578,Aunt,44
5579,Edith,2
5580,Pick,8
5581,flagged,6
5582,passage,47
5583,Dorothy,20
5584,Soper,3
5585,nose-high,1
5586,blossom,12
5587,empty,148
5588,tore,26
5589,dirtied,2
5590,piled,19
5591,vase,15
5592,shrivelled,7
5593,petals,15
5594,dying,49
5595,forsythia,1
5596,draining-board,4
5597,occur,8
5598,acting,23
5599,closely,29
5600,stale,10
5601,brownish,4
5602,hole,114
5603,hook,27
5604,ripping,9
5605,wanting,60
5606,scissors,11
5607,stepping,7
5608,stems,9
5609,discovered,70
5610,dust,47
5611,irritated,9
5612,embroidered,13
5613,clocks,6
5614,lighter,8
5615,lengthening,1
5616,tail,53
5617,shooting,38
5618,hid,38
5619,ash-tray,1
5620,blossom-tree,1
5621,half-smoked,1
5622,fire-place,3
5623,emptied,11
5624,stubs,1
5625,Lock,50
5626,Sale,5
5627,holly,17
5628,bush,19
5629,lilac,5
5630,strangers,22
5631,speedometer,6
5632,Forty-five,2
5633,stranger,27
5634,buttoned,6
5635,feed,36
5636,poor,168
5637,visited,33
5638,persuade,21
5639,overtook,3
5640,tractor,5
5641,search,40
5642,twenty-five,9
5643,drop,62
5644,stumbled,13
5645,sods,2
5646,reliable,6
5647,arranged,43
5648,chest,67
5649,wheezing,6
5650,reversed,4
5651,design,8
5652,Miss,1028
5653,Lofthouse,7
5654,avoided,16
5655,afternoons,16
5656,control,61
5657,torn,29
5658,Greystones,2
5659,Quarry,2
5660,Lane,24
5661,bureau,2
5662,berries,13
5663,Much,20
5664,halfway,29
5665,strap,8
5666,o'clock,60
5667,discover,21
5668,disgusting,22
5669,chalked,1
5670,market,25
5671,agent,24
5672,Whatever,50
5673,fiddled,4
5674,remaining,18
5675,shelf,61
5676,stroking,12
5677,Ghosts,10
5678,scary,3
5679,undressed,5
5680,term-time,1
5681,tray,64
5682,sauce,17
5683,board,65
5684,certificates,7
5685,certificate,5
5686,levelling,2
5687,pins,6
5688,trickled,9
5689,Morning,7
5690,sessions,6
5691,goggles,6
5692,chlorine,2
5693,mickey,4
5694,gallivanting,2
5695,nutcases,1
5696,Nutcase,1
5697,weirdo,2
5698,nutcase,3
5699,pheasants,15
5700,Somehow,20
5701,clippers,5
5702,sore,28
5703,opticians,1
5704,wasted,19
5705,pointless,4
5706,dam,7
5707,tied,59
5708,shoe,27
5709,laces,4
5710,muddy,15
5711,pond,30
5712,achieved,9
5713,gradually,13
5714,bust,2
5715,dressing,15
5716,milkman,3
5717,Fridays,6
5718,thump,18
5719,vacuuming,1
5720,doors,91
5721,vacuum,5
5722,cleaner,3
5723,broom,32
5724,optician,2
5725,sweeping,24
5726,cooker,4
5727,indoors,23
5728,mouthing,3
5729,roof,56
5730,wall-papers,1
5731,keen,33
5732,Birds,6
5733,Paradise,3
5734,shaped,8
5735,shoe-box,1
5736,paradise,4
5737,ridiculous,27
5738,slices,24
5739,sultanas,5
5740,polythene,8
5741,guessed,48
5742,half-three,1
5743,door-step,1
5744,eight,56
5745,fox,33
5746,settee,6
5747,trophies,3
5748,cups,14
5749,inscription,2
5750,phoned,29
5751,cut-up,1
5752,dreadful,39
5753,Their,70
5754,bitten,6
5755,foxes,8
5756,Everybody,23
5757,display,27
5758,calendar,12
5759,John,108
5760,platoon,2
5761,pens,10
5762,Sellotape,1
5763,keeps,23
5764,neat,32
5765,dusty,21
5766,packets,10
5767,seeds,23
5768,flower,53
5769,shoots,4
5770,piling,4
5771,scoop,13
5772,folds,8
5773,stepdad,15
5774,knotted,13
5775,cobweb,5
5776,unexpectedly,7
5777,D',33
5778,orchard,22
5779,testing,13
5780,worms,10
5781,wriggling,10
5782,halves,8
5783,compass,25
5784,oozing,8
5785,Mostly,7
5786,roaming,4
5787,heaps,11
5788,bloody,29
5789,touching,31
5790,Locked,2
5791,hood,10
5792,raining,15
5793,Marathon,1
5794,wrapper,2
5795,hopeless,20
5796,untwisted,1
5797,fastened,7
5798,pocketed,1
5799,childish,5
5800,lawn,27
5801,Round,7
5802,shrubs,5
5803,frosted,1
5804,vanished,33
5805,belonged,31
5806,toilet,33
5807,airing,3
5808,soaking,9
5809,rain,122
5810,reappeared,10
5811,walking-stick,4
5812,crush,7
5813,wobbled,5
5814,ledge,5
5815,Immediately,13
5816,walking-sticks,1
5817,umbrellas,2
5818,Phil,26
5819,seconds,81
5820,crashing,18
5821,wriggled,21
5822,tin,40
5823,Spitfire,9
5824,fighter,8
5825,mission,4
5826,Lots,10
5827,milk,94
5828,daffodil,4
5829,Beside,18
5830,radio,38
5831,tuned,3
5832,photo,6
5833,medals,25
5834,flying-suit,2
5835,bulb,7
5836,drawers,13
5837,cloth,63
5838,uniform,39
5839,moustache,11
5840,angled,2
5841,egg,102
5842,likes,69
5843,smokes,2
5844,alive,73
5845,nuisance,5
5846,smashing,17
5847,Break,2
5848,desperate,49
5849,grab,22
5850,dumbo,2
5851,prise,4
5852,cared,16
5853,anybody,47
5854,limp,16
5855,puppet,5
5856,cistern,1
5857,staple,1
5858,twists,4
5859,shots,2
5860,series,16
5861,securing,1
5862,churchyard,11
5863,straightened,25
5864,cushions,8
5865,engaged,8
5866,Bye,7
5867,scatter,2
5868,rinsed,1
5869,senseless,3
5870,farm,62
5871,dinner=time,1
5872,quarry,38
5873,vaulted,2
5874,sopping,1
5875,skirted,3
5876,waterproof,1
5877,popping,5
5878,Spitfires,1
5879,flipped,4
5880,entries,7
5881,Way,4
5882,sketch,8
5883,mud,56
5884,mess,38
5885,Overhead,5
5886,gliders,2
5887,glider,3
5888,scree,3
5889,release,13
5890,Quiet,6
5891,flying,71
5892,independence,7
5893,Arnhem,1
5894,Thinking,25
5895,guns,17
5896,pigeons,4
5897,steepest,2
5898,animal,60
5899,panting,24
5900,range,42
5901,tunnel,55
5902,wrapped,42
5903,sniffed,29
5904,encouragingly,3
5905,wrapping,5
5906,Instead,53
5907,intended,17
5908,chew,6
5909,Dressed,1
5910,losing,27
5911,gripped,28
5912,prodded,15
5913,willed,5
5914,charged,12
5915,undone,7
5916,worn,26
5917,clumsy,16
5918,bushes,38
5919,purpose,26
5920,fetched,26
5921,hurried,72
5922,ringing,18
5923,Hartley,3
5924,Warden,9
5925,pencil,54
5926,handy,16
5927,scrawled,4
5928,urgent,11
5929,earliest,3
5930,straightening,4
5931,exact,10
5932,pencils,14
5933,points,53
5934,sharpened,7
5935,sharpener,3
5936,meaning,28
5937,rights,18
5938,ribbons,11
5939,left-hand,5
5940,fitted,23
5941,hauled,12
5942,raced,41
5943,hill,81
5944,retired,8
5945,dry,93
5946,troughs,3
5947,wheelbarrows,1
5948,snowdrops,2
5949,crocuses,2
5950,jobs,31
5951,buying,20
5952,accusingly,4
5953,lets,8
5954,non-stop,2
5955,tank,17
5956,bricks,15
5957,pole,10
5958,croup,1
5959,Brian,18
5960,obedient,8
5961,grown-up,31
5962,clinging,12
5963,Hyperactive,1
5964,Hyperwhatsit,1
5965,doorway,52
5966,carpets,9
5967,linings,3
5968,belong,43
5969,cookers,2
5970,pin-prick,1
5971,biros,4
5972,ruler,18
5973,examining,4
5974,flaming,13
5975,sprawling,10
5976,spitting,7
5977,wheels,34
5978,grazed,2
5979,freewheeled,1
5980,brakes,7
5981,skidded,6
5982,wheeled,23
5983,unbuckling,1
5984,belt,37
5985,zig-zagging,1
5986,yelling,22
5987,Lie,3
5988,pellets,3
5989,embedded,2
5990,Wow,11
5991,elbows,22
5992,Quick,27
5993,hoiked,1
5994,pelted,3
5995,destroy,25
5996,lump,35
5997,anger,56
5998,parcels,21
5999,Somebody,18
6000,gross,1
6001,mend,13
6002,morbid,3
6003,raids,4
6004,photos,7
6005,Carter,5
6006,obstinate,3
6007,Social,3
6008,Services,2
6009,under-fifteens,1
6010,Alan,18
6011,sheds,6
6012,parts,46
6013,headline,5
6014,Killer,1
6015,Dog,27
6016,farmer,42
6017,roam,2
6018,irresponsible,2
6019,somebody,70
6020,oven,23
6021,chips,26
6022,fridge,15
6023,Apparently,11
6024,Senility,1
6025,senility,1
6026,wanders,3
6027,knobbled,2
6028,Parks,1
6029,roadside,4
6030,roams,2
6031,baking,9
6032,gives,24
6033,splashing,8
6034,pretend,27
6035,Australia,18
6036,digging,34
6037,believed,62
6038,dug,23
6039,rubbed,45
6040,cat,126
6041,strained,18
6042,peering,24
6043,Quickly,25
6044,bounced,20
6045,cats,24
6046,Tea,12
6047,woodpile,1
