,Term,RawCounts
438,welcoming,9
439,charitably,1
440,passed,147
441,Ha,15
442,ha,31
443,familiar,54
444,faces,89
445,yes,163
446,sorry,214
447,say,856
448,Klaus,1
449,Klara,1
450,course,438
451,corrected,12
452,ought,88
453,often,159
454,duty,33
455,support,39
456,group,96
457,answer,235
458,pressures,2
459,training,48
460,working,115
461,hard,351
462,normal,41
463,subjects,5
464,attending,3
465,able,214
466,make,778
467,dance,34
468,Ah,73
469,an,1702
470,air,244
471,sweet,65
472,reasonableness,1
473,relaxation,1
474,doctor,101
475,says,252
476,overwork,1
477,adding,18
478,muffled,13
479,baffled,12
480,retreated,7
481,T.V.,4
482,noisy,18
483,scuffle,3
484,Louts,8
485,hope,174
486,they,3618
487,staying,29
488,There,1401
489,general,16
490,sigh,33
491,agreement,12
492,were,3015
493,bunch,32
494,youths,3
495,another,589
496,district,10
497,came,1009
498,mildly,13
499,disturbed,23
500,dances,8
501,any,923
502,real,219
503,trouble,183
504,consequences,5
505,hooliganism,1
506,G.D.R,10
507,extremely,18
508,severe,17
509,horseplay,1
510,occasional,9
511,illicit,2
512,disc,6
513,put,889
514,record-player,4
515,much,847
516,annoyance,6
517,fight,77
518,leader,33
519,unwittingly,4
520,taken,227
521,junior,5
522,boxing,1
523,champion,17
524,ceased,6
525,appearing,8
526,still,860
527,tedious,3
528,least,207
529,eyes,931
530,friends,207
531,uneasy,20
532,unjustified,1
533,feeling,205
534,likely,77
535,drawn,66
536,their,1587
537,orbit,3
538,More,45
539,drifting,12
540,whom,46
541,asked,970
542,how,865
543,gone,369
544,understand,260
545,grinned,83
546,country,214
547,everything,266
548,secret,88
549,nothing,526
550,strains,1
551,Hungarian,6
552,pop,22
553,wailed,17
554,Shall,38
555,resolutely,6
556,shook,250
557,head,927
558,Not,467
559,Now,512
560,must,912
561,shy,30
562,like,2833
563,high,237
564,jump,61
565,"50,000",1
566,watching,175
567,felt,757
568,goose-pimples,2
569,arms,205
570,thought,1400
571,crossed,53
572,mind,537
573,courage,41
574,perhaps,177
575,cut,213
576,stardom,1
577,firmly,73
578,All,443
579,right,1195
580,Let's,143
581,remember,241
582,They,1699
583,strolled,5
584,couples,1
585,vaguely,19
586,swaying,9
587,glare,16
588,yellow,112
589,neon,3
590,basilisk,1
591,stare,38
592,nudged,15
593,Look,249
594,side,524
595,mouth,276
596,sauntering,5
597,something,890
598,celebrity,2
599,Her,344
600,father,499
601,official,27
602,London,95
603,returned,102
604,hair,338
605,orange,44
606,stripes,6
607,actually,86
608,appeared,98
609,back,2150
610,day,842
611,dyed,13
612,natural,46
613,brunette,6
614,badly,39
615,seemed,599
616,striped,15
617,hence,3
618,nickname,7
619,Bunte,8
620,also,183
621,femme,1
622,fatale,1
623,looks,105
624,young,297
625,Marlene,1
626,Dietrich,2
627,blasé,1
628,manner,37
629,match,38
630,casually,15
631,wiggled,2
632,Helloo,1
633,drawled,2
634,How,678
635,Athletic,1
636,Democratic,4
637,Socialist,3
638,Healthy,2
639,minds,26
640,healthy,16
641,bodies,26
642,Who,260
643,discos,1
644,West,27
645,darken,2
646,East,15
647,brighten,2
648,come,923
649,To,236
650,intense,18
651,promptly,6
652,accepted,24
653,invitation,9
654,obeyed,11
655,command,12
656,moved,234
657,floor,272
658,boy,580
659,left,614
660,abandoned,15
661,foolish,21
662,rare,23
663,prickle,4
664,envious,2
665,hostility,8
666,mood,44
667,defiantly,10
668,lunatic,7
669,rashness,1
670,whose,88
671,loutish,3
672,enough,488
673,jerk,8
674,mumbled,31
675,Wan,1
676,na,22
677,chick,3
678,keeping,90
679,Lout,16
680,safe,120
681,distance,101
682,suggested,60
683,dancer,3
684,mover,2
685,Better,32
686,indicated,10
687,Sure,22
688,Although,47
689,bad,221
690,matter,188
691,stripy,1
692,reason,108
693,expecting,36
694,sneering,4
695,laugh,121
696,impressed,18
697,takes,55
698,nerve,12
699,seems,64
700,silly,87
701,Stripe,1
702,Cut,37
703,patterns,19
704,loftily,2
705,barbaric,1
706,Hoping,1
707,squash,5
708,word,280
709,unsquashed,1
710,individualism,2
711,Shows,2
712,personality,6
713,Makes,3
714,Someone,43
715,different,258
716,Yourself,2
717,scandalised,2
718,heresy,2
719,True,9
720,lies,39
721,proper,64
722,relationship,8
723,each,550
724,person,195
725,society,7
726,primly,4
727,Eh,30
728,junk,8
729,Hey,30
730,want,898
731,Wannsee,4
732,stopped,348
733,With,181
734,party,94
735,woods,41
736,rock,60
737,roll,39
738,scooter,5
739,added,173
740,information,38
741,modest,5
742,pride,30
743,incredulously,3
744,weather,61
745,crazy,56
746,O.K.,18
747,Suit,2
748,shrugged,105
749,music,84
750,ended,39
751,See,93
752,making,273
753,bee-line,2
754,across,472
755,dance-floor,1
756,serious,57
757,earth,160
758,Dancing,3
759,impatient,18
760,foot,133
761,careful,86
762,voice,557
763,meant,163
764,own,602
765,business,100
766,began,547
767,hear,316
768,snapped,95
769,competition,51
770,Another,52
771,started,341
772,placing,12
773,hands,461
774,result,28
775,foxtrot,2
776,played,70
777,Russian,10
778,orchestra,3
779,himself,623
780,took,687
781,pair,114
782,weirdly,2
783,gyrations,1
784,together,357
785,Finally,25
786,elbowed,5
787,presence,29
788,ambled,5
789,girls,176
790,stopper,2
791,Has,31
792,On,228
793,ask,285
794,freezingly,1
795,This,581
796,very,1342
797,Honestly,13
798,surprised,149
799,odious,1
800,lured,4
801,ludicrous,5
802,bow,14
803,honour,29
804,graciously,5
805,accepting,8
806,delight,28
807,leaving,127
808,disconsolate,2
809,unhappy,22
810,prefer,11
811,awkward,28
812,shuffle,3
813,Pop,2
814,degenerate,2
815,agree,41
816,Hmm,15
817,occupied,5
818,shoulder,131
819,pay,79
820,attention,81
821,repeated,85
822,fact,174
823,no,1666
824,intention,5
825,lectured,1
826,wrong,283
827,demanded,47
828,bumped,16
829,apologised,6
830,profusely,1
831,types,10
832,breathe,25
833,though,476
834,Sorry,51
835,Very,109
836,already,252
837,backed,24
838,aloof,2
839,pulled,237
840,closer,73
841,startled,44
842,only,1094
843,disconcerted,4
844,close,209
845,expression,80
846,record,24
847,walked,320
848,attendance,2
849,amateurish,1
850,jazz,1
851,band,20
852,decadent,3
853,replied,271
854,quite,554
855,acceptable,4
856,heard,530
857,while,497
858,Young,32
859,Pioneer,1
860,Moscow,2
861,reminiscences,2
862,twice,77
863,thrice,1
864,dance-hall,1
865,round,858
866,affecting,5
867,standing,240
868,moodily,1
869,giving,121
870,start,230
871,surprise,119
872,Anyway,84
873,partner,6
874,danced,27
875,Really,44
876,teaching,24
877,calculus,1
878,followed,153
879,just,1528
880,seem,168
881,rude,31
882,Did,208
883,done,456
884,wanted,432
885,stop,330
886,turned,684
887,hurting,11
888,red,263
889,blushing,2
890,shoes,129
891,thawed,1
892,melted,16
893,forgave,5
894,pathetically,3
895,sent,135
896,happily,52
897,finding,60
898,remarkably,6
899,common,51
900,joined,72
901,spent,86
902,magical,7
903,hours,139
904,10.00,3
905,Home,16
906,cutting,42
907,protests,3
908,bed,380
909,Where,252
910,scurried,15
911,reluctant,12
912,scooters,3
913,revving,4
914,ear-splitting,1
915,racket,13
916,Good-night,9
917,stared,239
918,gulped,13
919,wonder,96
920,tomorrow,118
921,ca,641
922,Training,3
923,Of,206
924,step,79
925,nearer,43
926,Perhaps,199
927,changed,114
928,Cursing,1
929,breath,170
930,deep,204
931,conversation,67
932,indeed,70
933,cried,286
934,din,8
935,affected,10
936,yard,114
937,elbow,29
938,Time,30
939,eased,7
940,throttle,2
941,leered,4
942,exhaust,1
943,smoke,87
944,Come,316
945,us,765
946,ignored,33
947,hesitated,76
948,stuck,121
949,oar,5
950,coming,359
951,kid,23
952,Never,110
953,Keep,52
954,flared,8
955,Clear,12
956,minute,171
957,swing,14
958,give,395
959,orders,15
960,wants,106
961,sounded,131
962,astonishingly,9
963,determined,41
964,Nosey,4
965,Parker,2
966,simulated,1
967,astonishment,31
968,massed,4
969,ranks,4
970,nose,129
971,Comrade,1
972,unless,38
973,insist,5
974,moment,427
975,roared,29
976,revved,2
977,shouted,223
978,Any,39
979,bellowed,24
980,drove,76
981,tooting,1
982,horn,14
983,derisively,1
984,Thanks,45
985,bother,43
986,character,31
987,His,530
988,shot,96
989,thinks,87
990,needed,115
991,taking,212
992,peg,10
993,frightened,121
994,sure,443
995,shivered,20
996,little,1024
997,solicitous,2
998,miss,86
999,Slowly,38
1000,hesitantly,4
