,index,0
420,times,2176
421,much,8574
422,before,7978
423,Mr,2617
424,Neville,98
425,Chamberlain,175
426,his,50591
427,1923,51
428,changed,1158
429,subsidy,81
430,arrangement,391
431,one,22976
432,Government,1171
433,undertook,54
434,give,3201
435,definite,162
436,contribution,387
437,£6,4
438,per,3620
439,annum,127
440,period,2227
441,twenty,762
442,grants,261
443,applied,521
444,both,5361
445,letting,230
446,selling,381
447,help,2908
448,builders,74
449,provided,1605
450,subsidising,12
451,slum,40
452,Labour,813
453,Governments,54
454,Wheatley,11
455,(,25953
456,1924,74
457,),26687
458,Greenwood,19
459,assist,204
460,used,5211
461,extensively,66
462,subsequent,333
463,Conservative,412
464,National,973
465,Financial,120
466,Provisions,13
467,1933,50
468,confining,16
469,those,6839
470,increased,1011
471,stimulus,79
472,away,5381
473,slums,31
474,For,4510
475,time,13912
476,mathematical,249
477,definition,403
478,overcrowding,40
479,given,3214
480,1935,74
481,determined,700
482,attack,773
483,evil,371
484,As,5470
485,result,1713
486,people,8511
487,4.0,30
488,1931,78
489,reduced,585
490,3.5,47
491,1939,176
492,basic,895
493,policy,2433
494,wars,136
495,encourage,404
496,speedy,26
497,every,3239
498,means,2285
499,agency,202
500,into,16811
501,hands,2361
502,Local,383
503,societies,476
504,encouraged,422
505,convert,88
506,either,2326
507,sell,517
508,By,2321
509,encouraging,203
510,builder,51
511,sold,620
512,least,2978
513,community,1402
514,operations,328
515,financed,134
516,Modernisation,4
517,repair,172
518,rural,1312
519,cottages,176
520,possible,2824
521,mostly,364
522,small,4725
523,free,1362
524,play,1363
525,competition,660
526,fell,1185
527,greatly,328
528,till,504
529,£380,3
530,instead,963
531,results,781
532,remarkable,332
533,Ninety,8
534,cent,2824
535,inter-war,63
536,rateable,7
537,value,1485
538,exceeding,36
539,£26,3
540,£35,8
541,Greater,70
542,London,2541
543,During,731
544,1938,107
545,slum-dwellers,1
546,rehoused,12
547,"1,000",105
548,five,1830
549,—,26098
550,8,510
551,total,1198
552,"335,000",2
553,each,5232
554,year,3061
555,Great,666
556,Britain,1589
557,"360,000",2
558,We,7293
559,condone,13
560,bad,1219
561,quality,915
562,deplorable,17
563,appearance,527
564,some,14175
565,speculative,95
566,nor,1122
567,lack,935
568,physical,1181
569,planning,1370
570,wasteful,32
571,development,2171
572,land,2292
573,good,5907
