,Term,BNC_Baby_Counts
2874,down-setting,1
2875,respected,16
2876,straightforwardness,1
2877,tackled,4
2878,issue,40
2879,Penny,5
2880,positively,10
2881,whether,179
2882,presumed,9
2883,childishly,3
2884,sullenly,1
2885,determined,53
2886,broke,97
2887,shocked,46
2888,glared,30
2889,ungraceful,1
2890,silly,67
2891,well-off,1
2892,choked,14
2893,pudding,11
2894,cry,69
2895,comfort,41
2896,forced,74
2897,clutching,23
2898,napkin,8
2899,ruins,8
2900,Fifty,6
2901,serving,16
2902,pick,86
2903,husband,140
2904,Mother,92
2905,pleasant-looking,2
2906,mid-brown,2
2907,curly,11
2908,snub,6
2909,noses,9
2910,black-haired,1
2911,sallow-skinned,1
2912,medium,15
2913,height,38
2914,bursting,14
2915,damp,29
2916,swim,29
2917,flicks,2
2918,Australia,21
2919,Dad,77
2920,volunteered,11
2921,unusual,55
2922,seemed,697
2923,agreement,34
2924,refusing,12
2925,point-black,1
2926,insisting,2
2927,set-out,1
2928,reception,32
2929,replying,4
2930,unanswerably,1
2931,objected,10
2932,grounds,39
2933,expense,12
2934,epic,3
2935,proportions,4
2936,enjoyed,67
2937,distress,18
2938,Frank,28
2939,Someone,81
2940,resolute,2
2941,opened,274
2942,protest,26
2943,doorbell,7
2944,marched,12
2945,visitors,44
2946,standing,209
2947,greying,4
2948,fifty-year-old,1
2949,navy,11
2950,raincoat,5
2951,uniformed,26
2952,policewoman,3
2953,cap,22
2954,watchful,9
2955,stolid,1
2956,steadily,18
2957,bigger,30
2958,kin,2
2959,kit,13
2960,cleaned,14
2961,Looks,18
2962,Meet,2
2963,photographers,5
2964,subsided,19
2965,uncomfortable,25
2966,chesterfields,1
2967,sunny,11
2968,cramped,12
2969,living-room,18
2970,Teversham,17
2971,wishing,18
2972,sprang,28
2973,weeping,21
2974,drearily,3
2975,logged,3
2976,worst,67
2977,deceased,8
2978,Daddy,26
2979,although,165
2980,dads,1
2981,fought,32
2982,realization,5
2983,WPC,4
2984,guidance,4
2985,squarely,9
2986,desperately,31
2987,Jennings,1
2988,stolidly,2
2989,show,172
2990,follow,68
2991,identity,28
2992,grim,8
2993,insisted,41
2994,sugar,42
2995,chatted,10
2996,soothingly,7
2997,eight,61
2998,Kirton,1
2999,yard,75
3000,Evidently,5
3001,boiling,28
3002,pink-faced,1
3003,exertion,3
3004,oversized,1
3005,helmets,6
3006,covered,98
3007,silks,3
3008,urging,4
3009,bulging,12
3010,jodhpurs,3
3011,organizing,4
3012,maelstrom,2
3013,tucked,42
3014,sheltering,2
3015,twelve-foot,1
3016,evergreens,3
3017,planted,19
3018,east,22
3019,efficiently,10
3020,succeeded,17
3021,entangling,1
3022,pony,3
3023,reins,8
3024,blasted,6
3025,Precisely,5
3026,role,19
3027,lady,122
3028,admirably,3
3029,well-cut,6
3030,erupted,4
3031,inner,25
3032,fortress,4
3033,enquire,4
3034,tones,28
3035,effortlessly,7
3036,Caroline,39
3037,stirrups,1
3038,tone,81
3039,somehow,113
3040,neutral,12
3041,addressed,27
3042,hastened,2
3043,adjustment,2
3044,rebuked,3
3045,crushed,9
3046,notice,93
3047,dispatched,3
3048,assorted,8
3049,distant,51
3050,meadow,10
3051,cleared,42
3052,white-faced,4
3053,Decent,3
3054,Must,28
3055,popsy,1
3056,terms,67
3057,wholesale,4
3058,airman,3
3059,World,22
3060,War,25
3061,II,7
3062,drew,117
3063,alongside,30
3064,process,53
3065,recognized,47
3066,flapped,14
3067,warrant,8
3068,card,32
3069,waved,75
3070,detectives,6
3071,gingerly,12
3072,Father,93
3073,runs,26
3074,establishment,12
3075,fits,9
3076,succinct,1
3077,report,83
3078,bound,48
3079,resent,2
3080,intrusion,6
3081,turns,45
3082,Super,1
3083,twist,14
3084,prompt,5
3085,ungrudging,1
3086,breathed,24
3087,easier,44
3088,uncooperative,2
3089,scene-of-crime,5
3090,assure,14
3091,bore,34
3092,suitably,11
3093,subdued,9
3094,struck,96
3095,distributed,12
3096,huddled,10
3097,bench-seating,1
3098,smell,136
3099,faint,46
3100,minor,18
3101,complications,3
3102,reactions,11
3103,suspect,33
3104,witness,17
3105,import,8
3106,track,89
3107,chilled,8
3108,decanted,1
3109,identification,16
3110,tactfully,9
3111,sweep,15
3112,country,170
3113,spread,79
3114,raw,28
3115,Russia,9
3116,fifty-foot,1
3117,ridge,14
3118,Your,181
3119,studied,32
3120,repressively,1
3121,uneasily,17
3122,fished,11
3123,one-page,1
3124,scowling,2
3125,enquiringly,4
3126,lives,86
3127,Brett-Smith,2
3128,theme,10
3129,song,41
3130,TV,18
3131,hymn,7
3132,tune,21
3133,cassette,12
3134,stiffly,18
3135,godson,1
3136,cousin,20
3137,dazed,9
3138,supporting,15
3139,confirmation,6
3140,pro,2
3141,forma,1
3142,struggled,33
3143,piece,135
3144,rear,37
3145,stumbled,24
3146,Thirty,11
3147,scarf,17
3148,solid,48
3149,rock,33
3150,bastard,76
3151,agony,18
3152,Twenty-seven,1
3153,alive,128
3154,shepherding,1
3155,meaningless,9
3156,gentle,45
3157,step,96
3158,swaying,12
3159,bits,36
3160,touched,87
3161,hedge,25
3162,urgently,16
3163,vehicle,47
3164,ours,11
3165,Damn,38
3166,unnerved,4
3167,nearness,2
3168,vans,6
3169,AC,7
3170,doubt,140
3171,naturally,38
3172,shaken,13
3173,insurance,39
3174,worthwhile,2
3175,Right,48
3176,corpse,29
3177,Young,8
3178,aged,20
3179,reckons,2
3180,shoes,60
3181,scene,100
3182,pair,82
3183,wellingtons,1
3184,prince,8
3185,extending,4
3186,glass,213
3187,slipper,1
3188,maybe,89
3189,melting,4
3190,fit,72
3191,pointedly,8
3192,transferred,24
3193,Kitted,1
3194,size,47
3195,hole,50
3196,toe,13
3197,troops,14
3198,hit,115
3199,resolutely,7
3200,lay,241
3201,shell,16
3202,lived,138
3203,whereas,13
3204,arms,228
3205,outstretched,14
3206,well-defined,1
3207,death,344
3208,exposed,22
3209,summer,114
3210,stepping,19
3211,toes,18
3212,retarded,2
3213,off-hand,1
3214,Beeching,1
3215,axe,13
3216,fallen,71
3217,single,71
3218,leafless,2
3219,effectively,16
3220,screened,7
3221,shielded,5
3222,Whoever,14
3223,deserted,26
3224,village,120
3225,Leicestershire,1
3226,tractors,2
3227,inquisitive,6
3228,dogs,57
3229,frequently,17
3230,Careful,6
3231,charge,63
3232,matter-of-factly,7
3233,distributing,1
3234,heavy-duty,3
3235,surgical,2
3236,masks,8
3237,Back,19
3238,barely,38
3239,intelligible,3
3240,mask,38
3241,twenty,101
3242,yards,44
3243,bowed,27
3244,replied,206
3245,freckles,5
3246,blowing,19
3247,Carry,5
3248,plunged,26
3249,grateful,40
3250,fresh,79
3251,imperative,5
3252,breathing,48
3253,gulps,4
3254,awkwardly,9
3255,fumbled,18
3256,violent,29
3257,physical,46
3258,impulse,23
3259,cuddle,2
3260,Happens,1
3261,gruffly,4
3262,patting,5
3263,shoulder,146
3264,striding,10
3265,ahead,117
3266,Behind,51
3267,colours,39
3268,sky,148
3269,tried,346
3270,weather,55
3271,city-dwellers,1
3272,registering,3
3273,variation,2
3274,rained,5
3275,Faint,1
3276,squatted,11
3277,unselfconsciously,3
3278,edged,22
3279,photographed,10
3280,samples,15
3281,Some,156
3282,Sticky,1
3283,clay,9
3284,Likely,5
3285,traces,9
3286,Dyes,1
3287,yellow,92
3288,shape,77
3289,roses,16
3290,accident,77
3291,doc,2
3292,arrives,12
3293,grey-haired,3
3294,thorough,6
3295,photographing,1
3296,Dr,47
3297,Scott,265
3298,wrinkle,4
3299,Rigor,2
3300,bloodless,3
3301,limply,2
3302,Subcutaneous,1
3303,swelling,9
3304,seven,49
3305,precise,25
3306,autopsy,13
3307,Doc,5
3308,bang,18
3309,skull,31
3310,sharp-edged,3
3311,scrambled,23
3312,drawing,54
3313,breaths,7
3314,sizeable,4
3315,footsteps,29
3316,weapon,26
3317,competently,1
3318,operations,23
3319,shuddering,7
3320,raided,2
3321,provision,7
3322,box,69
3323,contain,10
3324,sandwiches,22
3325,hot,153
3326,nourishing,3
3327,pressed,88
3328,shiver,14
3329,realize,48
3330,breakfast,40
3331,spend,50
3332,nourishment,4
3333,dull,31
3334,darkening,13
3335,beginnings,7
3336,frost,11
3337,crackled,7
3338,bleak,18
3339,lifeless,7
3340,solidly,5
3341,ridges,4
3342,plough,8
3343,trace,30
3344,crop,7
3345,cereal,3
3346,tops,13
3347,waist-high,1
3348,remind,16
3349,none,101
3350,dank,7
3351,chill,20
3352,jumped,63
3353,boards,6
3354,hunters,5
3355,childhood,46
3356,knowledge,59
3357,forlorn,7
3358,parking,16
3359,unlocked,20
3360,carrying,93
3361,command,20
3362,identified,28
3363,promptly,20
3364,knows,144
3365,Hello,42
3366,sunshine,28
3367,poised,12
3368,faze,1
3369,soloist,2
3370,tenth,8
3371,wrists,14
3372,poked,12
3373,roughness,1
3374,brat,1
3375,discuss,45
3376,reassure,13
3377,probable,3
3378,return,116
3379,chaperoning,1
3380,explained,94
3381,forgotten,83
3382,discover,37
3383,facilities,10
3384,issued,12
3385,soap,21
3386,hand-towels,1
3387,healthily,1
3388,undercurrent,3
3389,ambulance,9
3390,shame-faced,1
3391,Curious,1
3392,warm,131
3393,sitting-room,29
3394,smelled,20
3395,cheerfully,14
3396,woodsmoke,2
3397,wet,63
3398,thumped,17
3399,tail,35
3400,rolled,77
3401,ecstasy,3
3402,flung,45
3403,accusing,10
3404,flirt,2
3405,returned,175
3406,drinking,59
3407,cloakroom,13
3408,polishing,4
3409,tack,16
3410,devil,20
3411,idle,12
3412,extracted,8
3413,darkened,27
3414,A1,1
3415,leads,13
3416,packet,17
3417,biscuits,23
3418,darkness,112
3419,hairbrush,3
3420,bathroom,47
3421,hairs,15
3422,burst,64
3423,admiringly,5
3424,extremely,18
3425,happily,33
3426,directions,17
3427,stayed,91
3428,spoken,62
3429,cover,77
3430,leaping,11
3431,longest,8
3432,understanding,33
3433,Quick,34
3434,painful,23
3435,appropriated,3
3436,self-contained,4
3437,routine,21
3438,British,150
3439,Museum,6
3440,m,18
3441,Curator,1
3442,Middle,9
3443,Eastern,7
3444,section,24
3445,Languages,1
3446,Turkey,11
3447,specialize,1
3448,fourteenth-century,3
3449,ceramics,1
3450,contemplative,2
3451,world,386
3452,safely,17
3453,removed,48
3454,unremarkable,3
3455,wondered,218
3456,laughs,13
3457,confirm,18
3458,distantly,4
3459,parties,17
3460,Ouch,2
3461,academic,16
3462,sardonic,2
3463,valuable,21
3464,critical,14
3465,produced,42
3466,clenched,16
3467,acquiescence,3
3468,upstairs,68
3469,blindly,10
3470,banisters,2
3471,modern,45
3472,foraged,1
3473,companionably,5
3474,milk,52
3475,valued,13
3476,hesitation,12
3477,conflict,11
3478,awkward,25
3479,reluctant,19
3480,register,13
3481,tap,20
3482,ghost,18
3483,deathly,5
3484,flattened,6
3485,lined,28
3486,brave,25
3487,mistaken,18
3488,smudged,7
3489,lipstick,16
3490,dumbly,3
3491,hardened,12
3492,investigator,13
3493,nerve,15
3494,preferred,50
3495,bottle,86
3496,pills,11
3497,Valium,2
3498,automatically,22
3499,cardigan,7
3500,correctly,7
3501,zip,3
3502,tattered,11
3503,bedroom,106
3504,slippers,12
3505,replaced,42
3506,casual,30
3507,observer,7
3508,nearer,32
3509,seventy,12
3510,implied,16
3511,conduct,8
3512,interviews,8
3513,Wo,7
3514,pat,12
3515,beige,6
3516,cashmere,6
3517,implicitly,1
3518,fear,131
3519,twice,66
3520,preparations,18
3521,Sunday,102
3522,eased,23
3523,drank,53
3524,poured,78
3525,exhausted,34
3526,wraith,2
3527,prefer,35
3528,typical,12
3529,interview,44
3530,I.,21
3531,bowled,2
3532,month,61
3533,terribly,17
3534,attractions,4
3535,remembering,29
3536,pain,135
3537,views,27
3538,biscuit,10
3539,wonder,125
3540,total,39
3541,emotional,18
3542,Was,152
3543,vaguely,30
3544,rhetorical,3
3545,staring,123
3546,terrible,82
3547,knocking,21
3548,apology,5
3549,grief,23
3550,differently,19
3551,wound,45
3552,unable,65
3553,demanded,67
3554,doctor,108
3555,teapot,10
3556,Tea,10
3557,slapped,18
3558,slopping,4
3559,jump,28
3560,unselfconscious,3
3561,misery,28
3562,acerbically,1
3563,assume,16
3564,stride,14
3565,From,162
3566,eyelashes,10
3567,compassion,5
3568,literally,15
3569,distracted,16
3570,concentrate,14
3571,events,46
3572,baleful,2
3573,ringing,42
3574,hoping,55
3575,off-chance,3
3576,mess,50
3577,dither,1
3578,conceal,12
3579,thinks,72
3580,centre,84
3581,affect,8
3582,entertaining,11
3583,security,38
3584,tenure,3
3585,attracted,22
3586,bluntly,6
3587,exceptional,3
3588,encouraged,17
3589,direct,40
3590,rival,16
3591,stuck,61
3592,calmer,8
3593,boyfriends,8
3594,settle,40
3595,blamelessly,1
3596,playing,81
3597,golf,9
3598,dining,25
3599,neighbours,27
3600,stronger,27
3601,apologized,5
3602,obliquely,2
3603,attached,34
3604,evenly,14
3605,emphasis,7
3606,definite,14
3607,ungrateful,1
3608,starving,6
3609,Ealing,2
3610,chipper,1
3611,steaks,6
3612,slept,52
3613,motorway,5
3614,woke,32
3615,evening,270
3616,traffic,69
3617,Dinner,3
3618,Restored,2
3619,steak,22
3620,means,120
3621,lucky,73
3622,modestly,11
3623,ended,43
3624,confession,10
3625,Unless,26
3626,Henley,43
3627,privileged,13
3628,acerbity,1
3629,policeman,78
3630,revelations,4
3631,Thames,18
3632,Valley,5
3633,modus,1
3634,operandi,1
3635,Eight,7
3636,withdrawn,10
3637,treat,25
3638,halving,1
3639,wanting,58
3640,jeopardize,2
3641,eating,63
3642,completed,15
3643,transaction,4
3644,nearest,38
3645,disbelievingly,3
3646,message,91
3647,dinner,129
3648,prevented,5
3649,saying,295
3650,Outside,40
3651,chain,37
3652,complete,57
3653,curtains,42
3654,unpacked,6
3655,Let,94
3656,disarray,2
3657,furnishings,7
3658,disposed,16
3659,boxes,21
3660,floor,270
3661,efficient,22
3662,participation,1
3663,drearier,1
3664,household,24
3665,chores,3
3666,satisfaction,37
3667,marvellous,32
3668,comfortably,14
3669,gossip,22
3670,various,54
3671,parts,35
3672,kiss,38
3673,friends,172
3674,kissing,18
3675,twenty-four,20
3676,Also,32
3677,bloody,128
3678,gorgeous,7
3679,yours,64
3680,different,260
3681,transparency,3
3682,primly,6
3683,projected,5
3684,timetable,2
3685,Glad,6
3686,afterwards,70
3687,bullets,23
3688,G'night,1
3689,anyway,148
3690,within,132
3691,dream,86
3692,machine,51
3693,tea-ti,1
3694,jaded,3
3695,streets,56
3696,constituency,1
3697,Derbyshire,4
3698,tiny,95
3699,expensive,62
3700,blue-green,5
3701,sweater,15
3702,slacks,3
3703,flopping,2
3704,forehead,44
3705,elegance,7
3706,masculine,5
3707,dominated,12
3708,grim-faced,1
3709,freshly,12
3710,choice,60
3711,armchairs,3
3712,ones,122
3713,chose,29
3714,fireplace,20
3715,simulated,2
3716,coal,11
3717,fire,205
3718,burned,39
3719,merrily,2
3720,emitting,3
3721,warmth,54
3722,gas,48
3723,powered,6
3724,illegal,5
3725,administration,8
3726,persuasion,8
3727,Measures,1
3728,hue,3
3729,described,41
3730,previous,65
3731,ceiling,49
3732,quiet,120
3733,copy,42
3734,published,13
3735,tidily,4
3736,Poor,31
3737,kindly,24
3738,principally,4
3739,riding-stable,1
3740,hacking,1
3741,excellent,18
3742,hunter,4
3743,rode,18
3744,lip,55
3745,remorseless,1
3746,flames,37
3747,Twice,5
3748,interesting,88
3749,unprompted,1
3750,disposing,1
3751,abandoned,29
3752,favour,35
3753,exciting,37
3754,consistent,2
3755,For,357
3756,ambition,9
3757,passions,3
3758,motive,30
3759,uneasy,30
3760,conviction,18
3761,stirring,17
3762,complex,34
3763,emotions,18
3764,cloud,34
3765,Time,34
3766,stage,85
3767,None,38
3768,wish,157
3769,killing,56
3770,accidental,5
3771,misshapen,2
3772,ill,68
3773,legacy,10
3774,ex-employer,1
3775,unbalanced,1
3776,badly,50
3777,despite,38
3778,legatee,1
3779,threats,4
3780,recently,47
3781,wills,8
3782,expectation,8
3783,bulk,14
3784,estates,6
3785,legacies,5
3786,college,21
3787,godchildren,1
3788,hers,85
3789,valid,5
3790,twisted,57
3791,irrelevant,9
3792,intensified,9
3793,jealousies,1
3794,rubbing,17
3795,television,66
3796,appearances,2
3797,activities,15
3798,precedent,2
3799,Ministerial,2
3800,specializing,1
3801,possibilities,17
3802,unreasonable,5
3803,Crown,7
3804,needs,56
3805,lifestyle,6
3806,fair,86
3807,admission,7
3808,standard,18
3809,speech,35
3810,Just,251
3811,intending,10
3812,Newcastle,14
3813,nightmare,36
3814,reassurance,14
3815,Certainly,28
3816,crammed,9
3817,rickety,5
3818,windy,5
3819,brilliant,28
3820,strength,65
3821,gives,22
3822,shine,9
3823,Discarded,1
3824,street,171
3825,murderer,67
3826,appreciated,5
3827,ambitious,18
3828,1,16
3829,2,6
3830,3,10
3831,relegate,1
3832,fourth,18
3833,green,192
3834,wheat,5
3835,turned-down,1
3836,smoking,27
3837,twentieth,4
3838,decision,31
3839,threw,120
3840,depressing,11
3841,agricultural,3
3842,cottages,12
3843,bulky,11
3844,headquarters,15
3845,ploughs,1
3846,Standing,11
3847,belonging,6
3848,plus,16
3849,query,6
3850,machinery,14
3851,blame,52
3852,townees,1
3853,keeper,7
3854,fetched,20
3855,farmer,11
3856,unhappy,28
3857,pig-ignorant,1
3858,forensic,22
3859,Could,101
3860,Make,16
3861,prints,15
3862,haven,8
3863,precautions,9
3864,Give,43
3865,arrange,21
3866,justifiably,3
3867,plan,107
3868,schedule,12
3869,brisk,11
3870,telephoning,9
3871,squinted,6
3872,offering,40
3873,sanctimonious,2
3874,newspaper,70
3875,temptation,17
3876,pressures,5
3877,mentioned,53
3878,crocodile,12
3879,tear,13
3880,casualties,4
3881,admired,20
3882,equal,17
3883,measure,21
3884,therefore,15
3885,unremitting,1
3886,methodically,2
3887,sorted,16
3888,solicitors,14
3889,port,23
3890,Huttons,1
3891,ushered,10
3892,Timothy,15
3893,Hutton,22
3894,housed,12
3895,outwardly,2
3896,featureless,7
3897,Ludgate,1
3898,Hill,24
3899,featured,6
3900,collection,47
3901,earth-moving,1
3902,cranes,3
3903,displayed,14
3904,simultaneously,12
3905,double,38
3906,glazing,2
3907,continuous,8
3908,windows,135
3909,dusty,25
3910,furniture,54
3911,fittings,3
3912,ruthlessly,6
3913,Scandinavian,1
3914,shaped,16
3915,wood,124
3916,file,51
3917,faith,28
3918,shelves,16
3919,visible,30
3920,uncompromisingly,3
3921,twentieth-century,3
3922,bean,1
3923,short-cut,1
3924,horn-rimmed,1
3925,spectacles,9
3926,folded,32
3927,enviously,2
3928,vision,44
3929,broadly,8
3930,striped,25
3931,shirts,16
3932,conclusion,28
3933,bouncer,1
3934,East,39
3935,End,30
3936,club,55
3937,Dreadful,1
3938,partners,31
3939,prayers,12
3940,meeting,144
3941,please,115
3942,property,41
3943,distributes,1
3944,executor,2
3945,unhurriedly,5
3946,sudden,76
3947,tail-coat,1
3948,wing,27
3949,façade,3
3950,internal,13
3951,debate,4
3952,anticipation,14
3953,submitted,5
3954,Probate,4
3955,difficulties,20
3956,benefited,3
3957,considerably,8
3958,second-rank,1
3959,stockbrokers,3
3960,taxes,3
3961,thou,11
3962,dispute,18
3963,advice,37
3964,sixty-two,5
3965,heart,216
3966,brains,23
3967,advised,22
3968,caved,3
3969,during,120
3970,lifetime,19
3971,bitter,35
3972,letter,150
3973,bothering,10
3974,diagram,7
3975,address,46
3976,Kenwards,3
3977,two-partner,1
3978,Kensington,10
3979,normally,22
3980,remainder,11
3981,consoled,3
3982,inherit,10
3983,trust,107
3984,twenty-one,15
3985,capital,29
3986,sum,20
3987,valuation,4
3988,exercise,31
3989,based,19
3990,actuarial,1
3991,financially,6
3992,actuarially,1
3993,forty,35
3994,conducted,12
3995,language,47
3996,recognizable,4
3997,reference,27
3998,elicit,2
3999,respective,2
4000,positions,11
4001,mistress,52
4002,reversed,9
4003,performance,25
4004,obfuscation,2
4005,lion,51
4006,hunting,24
4007,aid,19
4008,played,72
4009,refused,59
4010,flipped,14
4011,train,64
4012,unobtrusive,9
4013,signal,25
4014,evidence,81
4015,reluctance,9
4016,hysterical,8
4017,guaranteed,3
4018,encourage,13
4019,Wrote,1
4020,snotty,1
4021,poor,126
4022,bell,38
4023,matters,56
4024,"£200,000",4
4025,passes,10
4026,resumed,4
4027,prove,41
4028,absolutely,58
4029,charity,15
4030,predeceases,1
4031,i-s,1
4032,complicated,26
4033,"£100,000",7
4034,charities,2
4035,whenever,30
4036,assets,9
4037,courteously,3
4038,item,28
4039,characteristic,5
4040,style,47
4041,hide,66
4042,"£20,000",1
4043,ICI,1
4044,loan,14
4045,stock,31
4046,"7,000",1
4047,25p,1
4048,shares,36
4049,Sainsbury,1
4050,amount,43
4051,Difficult,4
4052,"£30,000",1
4053,partnership,16
4054,People,79
4055,borrow,8
4056,professionals,4
4057,charging,7
4058,fees,7
4059,cash,31
4060,"£600,000",1
4061,lease,9
4062,uneven,6
4063,Say,13
4064,profits,10
4065,"£500,000",2
4066,contemplated,8
4067,trm,3
4068,dissolves,1
4069,leisurely,10
4070,reasonable,33
4071,die,90
4072,produce,42
4073,formally,14
4074,interest-free,1
4075,Fine,15
4076,offer,95
4077,Amused,1
4078,documents,16
4079,happen,121
4080,loans,2
4081,repaid,2
4082,period,52
4083,Pretty,12
4084,Lots,12
4085,provisions,4
4086,stealing,16
4087,subsequently,8
4088,extract,6
4089,co-ordinating,3
4090,Forensic,3
4091,dourly,2
4092,typing,16
4093,Killed,6
4094,bleeding,13
4095,Small,9
4096,contusion,2
4097,cheek,73
4098,tests,10
4099,Nae,1
4100,forty-eight,6
4101,conclusively,2
4102,forty-eight-hour,1
4103,Metropolitan,4
4104,excepted,2
4105,footprints,8
4106,fingerprints,15
4107,fibre,4
4108,bushes,18
4109,Car,5
4110,Traces,2
4111,dozen,34
4112,vehicles,21
4113,indented,1
4114,definitely,24
4115,blood,168
4116,truss,1
4117,form,64
4118,bag,101
4119,Northumberland,7
4120,upset,59
4121,Accident,1
4122,crawled,17
4123,subordinate,3
4124,re,5
4125,Now,401
4126,Fix,2
4127,Aye,24
4128,delayed,9
4129,grunted,26
4130,meanly,1
4131,triumphant,12
4132,Napoleonic,1
4133,smugly,8
4134,cancelling,5
4135,Feeling,6
4136,vindicated,3
4137,far-seeing,1
4138,strode,16
4139,Over,49
4140,dismay,7
4141,Bill,79
4142,Westland,4
4143,CB,1
4144,MC,1
4145,fifty-five-year-old,1
4146,Deputy,4
4147,personnel,12
4148,policy,15
4149,cursed,20
4150,summoned,23
4151,Rajiv,8
4152,Sengupta,1
4153,industry,23
4154,regions,8
4155,derived,1
4156,habitual,6
4157,tie,48
4158,salary,16
4159,Under-Secretary,1
4160,State,7
4161,provides,5
4162,officials,8
4163,Professor,18
4164,Thornton,7
4165,appealed,11
4166,hopelessly,4
4167,Select,2
4168,Committee,23
4169,brief,56
4170,depending,1
4171,introduce,10
4172,staying,47
4173,god-daughter,1
4174,whatsoever,9
4175,taught,35
4176,Never,49
4177,economist,1
4178,don,9
4179,friend,200
4180,Prime,38
4181,study,60
4182,effective,13
4183,Send,5
4184,Heaven,6
4185,forbid,8
4186,Statistician,1
4187,To,218
4188,Gerhard,6
4189,comb,5
4190,common,62
4191,rooms,56
4192,generally,28
4193,dined,3
4194,Balliol,2
4195,Regius,1
4196,Chemistry,2
4197,193,1
4198,Egypt,40
4199,war,178
4200,Boer,1
4201,sidetracked,3
4202,Horseguards,1
4203,sidled,2
4204,quid,20
4205,apocryphal,1
4206,charming,23
4207,eccentricity,2
4208,tenderly,2
4209,mince-stained,1
4210,pocket,104
4211,Oxfam-reject,1
4212,entertain,5
4213,disrupting,1
4214,imposed,9
4215,guest,27
4216,defending,6
4217,Willis,2
4218,Engineering,3
4219,malice,4
4220,exposé,1
4221,soft,101
4222,underbelly,1
4223,briefing,8
4224,Regional,4
4225,Birmingham,7
4226,announcement,8
4227,development-area,1
4228,cowering,2
4229,desks,10
4230,population,11
4231,throw,40
4232,Manchester,21
4233,selective,2
4234,overnight,11
4235,honours,1
4236,thereafter,5
4237,Mm,4
4238,Fifty-two,1
4239,Fellow,1
4240,Harvard,3
4241,thirties,13
4242,incomprehensible,10
4243,econometrics,1
4244,maths,2
4245,godfather,2
4246,Interesting,7
4247,design,17
4248,restaurants,19
4249,tiles,11
4250,plants,49
4251,arches,6
4252,relationship,70
4253,organizational,1
4254,fetch,34
4255,Nice,46
4256,politeness,6
4257,echoed,16
4258,prevailing,5
4259,Italian-restaurant,1
4260,mahogany,13
4261,objects,27
4262,drawers,8
4263,blotters,2
4264,old-fashioned,32
4265,rapidly,31
4266,fading,18
4267,interviewed,10
4268,officially,11
4269,caused,47
4270,Given,10
4271,double-breasted,1
4272,distinctly,11
4273,hard-edged,3
4274,efficiency,18
4275,partly,48
4276,generational,1
4277,distinction,6
4278,flash,25
4279,revelation,5
4280,expectations,10
4281,representing,1
4282,ropes,16
4283,predominantly,3
4284,fields,50
4285,swiftest,4
4286,organza,1
4287,losing,25
4288,observation,16
4289,discharging,3
4290,fiddling,5
4291,Venetian,4
4292,blinds,8
4293,shining,31
4294,bloodshot,3
4295,flush,16
4296,cheekbones,11
4297,rubbed,43
4298,downing,5
4299,establish,14
4300,intended,54
4301,Around,14
4302,spending,25
4303,asks,28
4304,listen,62
4305,remarkably,11
4306,baffled,3
4307,keys,32
4308,cancelled,4
4309,cooks,1
4310,cheese,28
4311,Fleurie,1
4312,Hot,4
4313,revived,5
4314,Baker,3
4315,Street,200
4316,establishing,6
4317,unconcerned,4
4318,regular,31
4319,Fiona,13
4320,weekday,4
4321,lunches,11
4322,Depends,5
4323,otherwise,44
4324,reckon,31
4325,locusts,2
4326,fridge,16
4327,sank,25
4328,quiche,2
4329,offended,6
4330,slightest,18
4331,three-thirty,2
4332,equanimity,3
4333,absence,32
4334,chore,2
4335,Which,67
4336,Groups,1
4337,confided,9
4338,peter,2
4339,territory,13
4340,patter,5
4341,rehearsed,4
4342,reasons,59
4343,incisive,1
4344,skeleton,15
4345,padding,3
4346,decision-takers,2
4347,necessity,7
4348,balanced,10
4349,Ours,2
4350,barrister,2
4351,peroration,1
4352,judge,25
4353,arriving,20
4354,Mostly,12
4355,ensuring,6
4356,preliminary,6
4357,basis,19
4358,gained,14
4359,instance,35
4360,departments,4
4361,policies,7
4362,confidential,12
4363,biggest,7
4364,main,105
4365,rivals,6
4366,Conservative,5
4367,manifesto,3
4368,dying,55
4369,private-sector,1
4370,firms,8
4371,schoolfriend,4
4372,impact,16
4373,recommend,9
4374,full-scale,5
4375,defence,22
4376,seniors,2
4377,disguising,1
4378,intentions,10
4379,varies,4
4380,reserve,9
4381,arranging,7
4382,opposed,11
4383,memorandum,1
4384,two-page,1
4385,bullet-point,1
4386,Politicians,1
4387,screeds,1
4388,pithy,2
4389,agin,1
4390,businesses,9
4391,shouted,122
4392,loud,61
4393,Whitehall,12
4394,crumble,1
4395,prevail,3
4396,spur,5
4397,campaign,14
4398,waged,3
4399,inform,10
4400,inspire,3
4401,orchestrate,1
4402,efforts,24
4403,Waste,2
4404,drunken,17
4405,results,14
4406,plenty,73
4407,forget,99
4408,obliged,24
4409,average,13
4410,backbench,1
4411,spoon-feed,1
4412,discussing,19
4413,personality,21
4414,emerging,10
4415,abandon,14
4416,prejudice,2
4417,existed,16
4418,riled,2
4419,scorn,8
4420,criticism,11
4421,sweeping,18
4422,invent,5
4423,inventor,1
4424,PR,9
4425,specialist,14
4426,agency,14
4427,Government,48
4428,widest,2
4429,masters,11
4430,Brussels,6
4431,tended,23
4432,investigation,23
4433,youngest,12
4434,outstandingly,1
4435,c'est,2
4436,moi,2
4437,arrangements,29
