,Term,BNC_Baby_Counts
433,men,580
434,next,427
435,eyeing,7
436,long,871
437,legs,204
438,moment,588
439,when,1898
440,knew,1117
441,be,4744
442,asked,938
443,acquiesce,2
444,some,1424
445,lunatic,4
446,scheme,19
447,pulling,55
448,trouble,179
449,saw,780
450,position,111
451,detachment,14
452,:,1564
453,tall,129
454,twenty-nine,10
455,nose,112
456,arched,9
457,eyebrows,43
458,particularly,133
459,uncompromising,15
460,today,110
461,tired,92
462,pale,154
463,short,199
464,spiking,1
465,up,3411
466,crying,48
467,observed,82
468,resignedly,4
469,door,836
470,right,987
471,tell,682
472,me,2909
473,sat,443
474,heavily,54
475,beside,193
476,careful,50
477,measuring,4
478,sidelong,6
479,go,1262
480,hurry,47
481,bail,6
482,backing,8
483,group,107
484,band,31
485,They,1792
486,nick,7
487,charged,14
488,possession,29
489,Cocaine,5
490,understand,267
491,Jesus,104
492,know,2180
493,just,1564
494,beginning,126
495,success,43
496,Perry,12
497,simply,130
498,left,730
499,Thought,6
500,could,3137
501,walk,195
502,water,453
503,irritated,25
504,memory,91
505,Frannie,4
506,why,550
507,do,3528
508,has,870
509,manager,36
510,studio,14
511,does,512
512,n't,6905
513,What,1320
514,can,1160
515,ca,517
516,sighed,91
517,so,2250
518,whole,289
519,ribcage,3
520,moved,363
521,am,477
522,extent,18
523,home,588
524,ground,189
525,reluctantly,32
526,Mike,58
527,Michael,6
528,O'Brien,7
529,will,1056
530,help,373
531,spot,57
532,held,294
533,temper,25
534,reminding,15
535,publicized,2
536,affair,42
537,Senator,14
538,reason,198
539,sent,161
540,early,187
541,tour,14
542,Embassy,6
543,Washington,22
544,previously,14
545,met,241
546,London,283
547,As,661
548,DTI,13
549,colleagues,31
550,maliciously,5
551,felt,761
552,fraternization,1
553,American,126
554,carried,108
555,far,432
556,characteristically,1
557,taken,378
558,line,174
559,Foreign,6
560,Office,26
561,ought,116
562,glad,124
563,someone,466
564,staff,71
565,closely,45
566,involved,111
567,political,44
568,Establishment,2
569,are,1947
570,Well,592
571,hardly,176
572,into,2516
573,bed,398
574,There,1393
575,certainly,161
576,another,658
577,incumbent,4
578,But,2212
579,is,3873
580,senior,53
581,close,249
582,whichever,4
583,way,1335
584,slice,13
585,wo,314
586,want,1014
587,my,2112
588,brother,137
589,being,703
590,buggered,2
591,or,2194
592,beaten,28
593,jail,15
594,Her,399
595,classically,6
596,diction,1
597,became,160
598,clearer,4
599,under,517
600,stress,7
601,statement,33
602,emerged,35
603,metallic,12
604,clarity,13
605,dubbed,2
606,film,61
607,clientèle,3
608,small,612
609,obviously,94
610,appreciating,4
611,every,339
612,since,337
613,unaware,10
614,audience,46
615,did,2903
616,become,168
617,selfconscious,1
618,expected,168
619,achieve,12
620,these,540
621,circumstances,60
622,darling,62
623,legal,36
624,system,83
625,deported,3
626,custody,8
627,disaster,24
628,s,32
629,banned,2
630,US,28
631,ever,489
632,presumably,38
633,least,262
634,interfered,4
635,unspeakable,5
636,foreign,32
637,drugs,47
638,hoped,100
639,evidently,34
640,must,848
641,verge,13
642,suggesting,11
643,thoroughly,14
644,unpleasant,29
645,might,895
646,succeed,11
647,curing,1
648,where,1110
649,methods,10
650,including,42
651,exhortation,2
652,loving,23
653,family,314
654,support,76
655,spell,17
656,comfortable,69
657,private,106
658,hospital,85
659,Devon,6
660,failed,49
661,shuttered,6
662,miserable,19
663,face,1021
664,nowhere,38
665,along,313
666,those,552
667,lines,84
668,Why,458
669,Mum,77
670,boys,107
671,bronchitis,3
672,managed,100
673,place,572
674,Friday,30
675,true,163
676,how,870
677,score,11
678,points,36
679,Charlie,32
680,baby,113
681,tomorrow,118
682,Japan,7
683,papers,98
684,say,941
685,Jeremy,10
686,coming,316
687,alone,227
688,any,1019
689,deploy,2
690,receiving,13
691,rescue,18
692,cases,51
693,fed,28
694,stop,229
695,taking,240
696,leave,311
697,stopped,274
698,sharply,76
699,blushed,12
700,scarlet,27
701,Wait,20
702,minute,152
703,blood-pressure,1
704,about,2739
705,using,74
706,wretchedly,4
707,really,584
708,expect,170
709,days,387
710,try,199
711,hang,32
712,seems,124
713,ages,11
714,scowled,10
715,round,539
716,fascinated,10
717,returning,39
718,customers,22
719,their,2004
720,chips,22
721,Anyway,107
722,busy,99
723,honest,36
724,acknowledge,8
725,point,271
726,important,156
727,us,722
728,sorry,189
729,inside,286
730,week,225
731,anyone,260
732,else,414
733,mean,473
734,let,492
735,lean,17
736,defeated,11
737,heavy,169
738,cost,52
739,Do,610
740,still,1075
741,anxiously,24
742,Not,572
743,An,116
744,indrawn,2
745,breath,127
746,spectators,5
747,unsettled,4
748,them,2697
749,nearly,126
750,laughed,180
751,expression,94
752,sobered,1
753,Let's,94
754,here,1087
755,slid,59
756,obediently,4
757,stool,27
758,bidding,9
759,civil,23
760,good-morning,1
761,owner,38
762,willingly,11
763,swept,62
764,plump,21
765,Italian,30
766,embrace,22
767,gates,30
768,ring,128
769,worried,84
770,profile,22
771,furious,23
772,think,1382
773,surprised,157
774,well,840
775,appeal,24
776,proof,19
777,against,516
778,bent,71
779,kissed,61
780,quickly,198
781,luck,51
782,flicked,35
783,reminded,74
784,protect,32
785,involvement,18
786,drug-taking,1
787,many,377
788,advantages,7
789,professional,57
790,servant,66
791,understood,89
792,constraints,5
793,career,43
794,turned,743
795,again,1088
796,coldly,20
797,nothing,690
798,trudged,1
799,wearily,28
800,cheerfulness,4
801,evaporated,9
802,Miss,266
803,Morgan,150
804,Would,113
805,speak,177
806,assistant,29
807,receptionist,11
808,everything,236
809,glass-walled,1
810,hall,160
811,immaculately,9
812,clean,98
813,glossy,8
814,highly,35
815,fashionable,15
816,faintly,27
817,reminiscent,9
818,restaurant,32
819,plain,77
820,intimidated,12
821,nor,141
822,hand-carved,1
823,proclaimed,3
824,Yeo,111
825,Davis,44
826,Partners,2
827,lunch,138
828,arranged,57
829,If,788
830,wait,158
831,ask,290
832,come,1084
833,immaculate,7
834,manner,47
835,fraying,1
836,discomfort,13
837,situation,63
838,showing,58
839,edge,150
840,petticoat,8
841,visibly,18
842,relaxed,44
843,moving,164
844,swiftly,29
845,staircase,27
846,Peter,214
847,!,2423
848,impatiently,20
849,deal,102
850,interruption,9
851,smaller,44
852,width,5
853,powerful,41
854,sloping,9
855,shoulders,114
856,tailoring,2
857,minimize,3
858,enquiry,10
859,suppressed,12
860,energy,35
861,movement,67
862,This,551
863,Huntley,43
864,supposed,123
865,Angela,110
866,blinked,30
867,power,152
868,attention,122
869,Have,113
870,talked,113
871,stared,211
872,no,1922
873,fixed,55
874,Is,249
875,afraid,147
876,clearly,126
877,preoccupied,11
878,willing,31
879,boss,38
880,partner,45
881,yes,262
882,noticed,167
883,good-looking,19
884,bright,150
885,blue,220
886,skin,125
887,black,353
888,Rather,11
889,neck,116
890,attractive,44
891,thoughtfully,45
892,none-too-clean,1
893,patchy,3
894,make-up,20
895,broken,98
896,veins,10
897,cheeks,43
898,Late,9
899,twenties,17
900,effort,52
901,So,628
902,hold,158
903,enquired,30
904,fretfully,1
905,control,129
906,Perhaps,261
907,should,804
908,somewhere,103
909,less,241
910,public,116
911,suggested,114
912,showed,106
913,hastily,31
914,happened,304
915,bad,234
916,And,2147
917,Thursday,27
