,Term,BNC_Sampler_Counts
9223,pro-democracy,2
9224,Exit,8
9225,Entry,4
9226,Consular,1
9227,consular,1
9228,blast,19
9229,Banco,1
9230,Lima,4
9231,deactivated,1
9232,well-known,18
9233,suspects,6
9234,survivors,9
9235,Rescue,4
9236,crew,29
9237,sending,54
9238,distress,22
9239,Lawrence,40
9240,coastguard,6
9241,vessel,8
9242,seas,14
9243,winds,19
9244,picked,126
9245,rafts,2
9246,wreckage,6
9247,Nevada,5
9248,weapon,28
9249,detonated,1
9250,5.4,6
9251,Richter,2
9252,ripples,4
9253,highrise,1
9254,Las,4
9255,Vegas,4
9256,105,3
9257,conducted,44
9258,Somalia,10
9259,Hargeisa,1
9260,war-torn,2
9261,jails,2
9262,excluded,31
9263,habitual,1
9264,offenders,7
9265,Pisa,2
9266,tower,22
9267,safety,130
9268,Leaning,1
9269,Tower,78
9270,seamen,2
9271,rescued,5
9272,fish,218
9273,Bay,20
9274,Biscay,1
9275,Benin,2
9276,bills,34
9277,expelled,6
9278,correspondents,7
9279,seizing,3
9280,notebooks,2
9281,cassette,8
9282,tapes,62
9283,accusing,6
9284,inciting,1
9285,anti-government,5
9286,Flooding,1
9287,relief,70
9288,Global,7
9289,coastal,20
9290,flooding,8
9291,scientists,16
9292,inches,78
9293,raises,16
9294,SeaCo,1
9295,$1.036bn,1
9296,spur,6
9297,Larry,5
9298,Elliott,3
9299,Economics,5
9300,LEADERS,1
9301,solved,17
9302,starting,133
9303,bedevilled,3
9304,tardiness,1
9305,278,1
9306,slightly,143
9307,praised,9
9308,vanguard,6
9309,merger,57
9310,anti-cartel,1
9311,obstacles,8
9312,finalise,5
9313,chipped,6
9314,stumbling,7
9315,harmonise,4
9316,tax,306
9317,VAT,81
9318,pays,27
9319,subjects,94
9320,Custom,1
9321,duties,39
9322,dissension,2
9323,poignancy,2
9324,sweeteners,1
9325,Aerospace,21
9326,somewhat,64
9327,delegations,6
9328,promising,16
9329,telecommunications,14
9330,infrastructure,41
9331,network,105
9332,quell,1
9333,SYRIAN,1
9334,Shi'ite,1
9335,Syrian-backed,1
9336,Amal,2
9337,pro-Iranian,1
9338,Hezbollah,1
9339,noon,8
9340,Twelve,54
9341,snipers,3
9342,homes,83
9343,Hamdan,1
9344,sniper,2
9345,bedroom,157
9346,Mossaitbeh,1
9347,residential,28
9348,rounded,12
9349,Bourj,2
9350,Abou,2
9351,Haidar,2
9352,fiercest,1
9353,Residents,3
9354,quelled,2
9355,Wisal,1
9356,Wehbeh,1
9357,militias,1
9358,Aminah,1
9359,Mu'asher,1
9360,militiaman,1
9361,Allah-o-Akbar,1
9362,pavement,8
9363,hell,103
9364,Brothers,9
9365,values,108
9366,striving,4
9367,League-brokered,1
9368,tighten,4
9369,grip,13
9370,Abdallah,1
9371,Bouhabib,2
9372,entrenched,3
9373,Salman,2
9374,discounted,4
9375,option,65
9376,civilians,4
9377,speedily,3
9378,resort,26
9379,scents,6
9380,"50,000",9
9381,Nevesky,1
9382,Cathedral,20
9383,round-table,2
9384,towns,56
9385,freezing,22
9386,temperatures,12
9387,snowfall,3
9388,enthusiastic,16
9389,fraud,16
9390,mismanagement,3
9391,Nikolai,4
9392,Vassilev,1
9393,Nuremberg,2
9394,totalitarian,2
9395,organisers,25
9396,pre-empt,1
9397,Beron,1
9398,bosses,8
9399,finances,12
9400,Ivanov,1
9401,Reconciliation,1
9402,Ethnic,4
9403,attending,20
9404,Gotse,1
9405,Delchev,1
9406,expose,10
9407,Zhelyu,1
9408,Zhelev,2
9409,equally,56
9410,platforms,12
9411,Andrey,1
9412,Lukanov,1
9413,defamations,1
9414,Trud,1
9415,"£1,000",9
9416,Election,8
9417,fever,6
9418,worker,48
9419,Sao,2
9420,Paulo,2
9421,BRAZIL,1
9422,electing,7
9423,Lula,4
9424,Cup-like,1
9425,grips,5
9426,buses,18
9427,Da,17
9428,myth,21
9429,ex-factory,1
9430,schooling,4
9431,unqualified,3
9432,televison,1
9433,cleverly,7
9434,mixing,27
9435,adversary,1
9436,humour,17
9437,actresses,7
9438,household,39
9439,soaps,11
9440,hesitant,1
9441,rattled,2
9442,pro-Lula,1
9443,erosion,6
9444,co-ordinator,4
9445,replan,2
9446,multi-million,3
9447,Reconstruction,1
9448,handful,23
9449,gaucho,1
9450,backfired,5
9451,expressions,55
9452,muddled,5
9453,brand,25
9454,bent,25
9455,introducing,23
9456,yellow,132
9457,warns,9
9458,Fear,8
9459,questionable,5
9460,repeatedly,12
9461,rose,108
9462,41.4,1
9463,leaves,195
9464,Tyler,2
9465,Marshall,6
9466,Carnogursky,6
9467,defendant,15
9468,Bratislava,3
9469,pardoned,4
9470,dress,94
9471,self-effacing,3
9472,Carnogurksy,1
9473,widesweeping,1
9474,pardon,45
9475,Article,34
9476,penal,8
9477,code,29
9478,stifle,3
9479,smile,73
9480,groundswell,1
9481,experiencing,7
9482,outside of,8
9483,45,18
9484,ministerial,8
9485,wardens,13
9486,swearing,20
9487,opposite,81
9488,poles,14
9489,unyielding,3
9490,hard-line,3
9491,Soviet-led,2
9492,bitterness,10
9493,symbolised,2
9494,apparatus,14
9495,-Washington,1
9496,Post,45
9497,vow,6
9498,gathering,27
9499,intensify,6
9500,Consciousness,2
9501,BCM,5
9502,resolutions,20
9503,hammered,7
9504,convenors,2
9505,extra-parliamentary,1
9506,MDM,4
9507,ideologically,3
9508,aligned,6
9509,Biko,2
9510,Pan-Africanist,1
9511,PAC,2
9512,Co-operation,4
9513,"4,660",1
9514,representing,42
9515,"2,140",1
9516,Murphy,8
9517,Morobe,1
9518,Harare,4
9519,in consultation with,2
9520,reserving,1
9521,broadening,9
9522,selectively,2
9523,government-approved,1
9524,assemblies,7
9525,homelands,2
9526,councils,29
9527,townships,3
9528,dating,12
9529,non-collaboration,1
9530,shunning,2
9531,government-established,1
9532,exacerbate,2
9533,misgivings,5
9534,flirtations,1
9535,bantustan,1
9536,Enos,1
9537,Mabuza,1
9538,KaNgwane,1
9539,Africanists,1
9540,sympathies,4
9541,attend,50
9542,asserting,4
9543,convening,2
9544,represented,63
9545,Zulu-based,1
9546,Mangosuthu,2
9547,Buthelezi,2
9548,Aides,1
9549,moderates,2
9550,signalling,12
9551,expectation,26
9552,aroused,11
9553,physicist,4
9554,Fang,5
9555,Lizhi,3
9556,sanctuary,36
9557,condemnation,7
9558,unwillingness,3
9559,tendency,19
9560,kowtow,2
9561,on the part of,12
9562,relax,28
9563,Solarz,1
9564,subcommittee,1
9565,startled,4
9566,2am,1
9567,Adviser,3
9568,Deputy,12
9569,Eagleburger,3
9570,Kissinger,4
9571,rapprochement,2
9572,disgust,6
9573,complained,23
9574,congresswoman,1
9575,Nancy,14
9576,Pelosi,1
9577,sponsor,8
9578,vetoed,4
9579,visas,6
9580,expired,4
9581,1972,37
9582,revolted,1
9583,brutal,21
9584,Responding,1
9585,isolating,6
9586,compound,18
9587,delayed,17
9588,elliptical,2
9589,wide-ranging,6
9590,delay,30
9591,overripe,3
9592,transcript,3
9593,persuaded,24
9594,two-hour,4
9595,enshrines,3
9596,Instead,32
9597,400-strong,2
9598,reform-minded,6
9599,adopt,31
9600,telegrams,1
9601,Andrei,2
9602,Sakharov,2
9603,amendment,15
9604,hotly,3
9605,diminish,5
9606,organise,20
9607,demoralise,1
9608,turning-point,2
9609,Significantly,5
9610,abolish,4
9611,irresponsible,7
9612,vacuum,14
9613,careful,113
9614,consideration,107
9615,Kemerevo,1
9616,Melnikov,3
9617,Is,801
9618,proper,134
9619,bowing,5
9620,blessing,20
9621,apologising,3
9622,regard,61
9623,CPSU,1
9624,consolidating,2
9625,guarantor,3
9626,protection,94
9627,inspire,9
9628,guide,60
9629,Because,314
9630,pales,1
9631,insignificance,4
9632,fares,16
9633,breaks,37
9634,ice,49
9635,unannounced,3
9636,tacitly,2
9637,high-level,7
9638,governmental,1
9639,yours,156
9640,Hall,116
9641,In spite of,19
9642,disputes,11
9643,Sino-US,2
9644,saving,38
9645,patch,21
9646,lowest,32
9647,ebb,3
9648,Nixon,4
9649,trail-blazing,2
9650,Ostensibly,1
9651,amounted,13
9652,inexorable,2
9653,downward,9
9654,slide,37
9655,admiral,3
9656,bilateral,7
9657,rolled,29
9658,carpet,66
9659,lengthy,12
9660,Qian,1
9661,Qichen,1
9662,Jiang,1
9663,Zemin,1
9664,privately,35
9665,Orient,1
9666,reciprocating,2
9667,Marlin,1
9668,Fitzwater,1
9669,deplores,1
9670,nevertheless,38
9671,reverted,5
9672,diatribes,1
9673,charge d'affaires,2
9674,execute,6
9675,administrative,43
9676,bill,79
9677,heavily,48
9678,best-known,6
9679,astrophysicist,1
9680,Ex-president,1
9681,fence-mending,1
9682,Unused,3
9683,candid,3
9684,stiffened,14
9685,surprising,34
9686,susceptible,8
9687,puzzling,5
9688,friendship,23
9689,mutual,20
9690,tenuous,1
9691,spectre,3
9692,xenophobic,1
9693,welcomes,4
9694,cordiality,1
9695,forestalled,1
9696,unfurled,1
9697,Film,6
9698,deliberately,23
9699,derailed,1
9700,Events,5
9701,window,284
9702,Realistically,2
9703,sour,9
9704,momentum,11
9705,Loss,2
9706,revisions,3
9707,delicate,24
9708,putative,2
9709,Preparations,1
9710,Irish,83
9711,Italians,13
9712,character,125
9713,exclusively,20
9714,counter-inflationary,1
9715,non-accountable,1
9716,route,59
9717,leads,47
9718,broader,12
9719,definition,94
9720,involves,44
9721,productive,14
9722,accountable,6
9723,favoured,30
9724,Hiding,2
9725,bandwagon,4
9726,invite,40
9727,hearings,4
9728,struck,42
9729,essentially,48
9730,democratically-elected,5
9731,in proportion to,9
9732,recommend,33
9733,amended,15
9734,unanimity,2
9735,withholds,1
9736,conclude,19
9737,Splendid,5
9738,clear-cut,6
9739,reshaping,1
9740,nuts,21
9741,bolts,9
9742,heeding,1
9743,delays,14
9744,raft,2
9745,320,2
9746,hasty,6
9747,risky,5
9748,charter,17
9749,grain,38
9750,counter-balance,1
9751,viewed,17
9752,championing,1
9753,encourages,5
9754,autonomy,9
9755,Treasury,21
9756,evolution,13
9757,pave,3
9758,affected,47
9759,Francois,7
9760,constraints,22
9761,fiscal,17
9762,less-developed,2
9763,virtue,16
9764,Anglo-German,1
9765,forged,4
9766,scupper,1
9767,combat,14
9768,doubted,3
9769,diluted,4
9770,deep-seated,4
9771,hyper-inflation,3
9772,anti-inflation,1
9773,tendencies,4
9774,watered,12
9775,rigid,12
9776,disciplines,17
9777,let's,247
9778,Observers,2
9779,7.3,13
9780,8,106
9781,concluding,4
9782,Jon,8
9783,Bloomfield,1
9784,non-Communist,3
9785,toppled,2
9786,nominees,1
9787,protracted,2
9788,efficient,68
9789,heady,4
9790,qualities,23
9791,stead,6
9792,applied,114
9793,Urban,7
9794,readily,35
9795,acknowledges,3
9796,anarchist,1
9797,professionally,5
9798,competent,11
9799,everybody,233
9800,Stalinism,7
9801,dominates,3
9802,dragon,5
9803,slain,3
9804,lure,4
9805,proving,16
9806,jockeying,1
9807,intends,19
9808,functioned,2
9809,flex,5
9810,muscles,28
9811,Slovakia,1
9812,Bohemia,2
9813,Moravia,6
9814,agricultural,46
9815,co-operatives,6
9816,Peasants,5
9817,Greens,11
9818,Logic,3
9819,emergence,19
9820,draws,19
9821,Marxist,8
9822,social-democratic,1
9823,forcibly,8
9824,amalgamated,7
9825,understandable,9
9826,colourful,18
9827,Balkanisation,1
9828,fragmentation,3
9829,strive,5
9830,skill,53
9831,suggests,70
9832,tricky,13
9833,tasks,24
9834,BY,18
9835,breathing,31
9836,credibility,8
9837,Gregor,6
9838,Gysi,19
9839,SED,15
9840,structures,35
9841,overwhelming,22
9842,rallying,4
9843,abolishing,3
9844,100-member,2
9845,executive,30
9846,trio,12
9847,Berghofer,3
9848,Dresden,7
9849,marches,11
9850,cleansing,18
9851,thorough,17
9852,Sauwirtschaft,2
9853,piggery,2
9854,Egoismus,2
9855,selfishness,4
9856,Diebstahl,2
9857,theft,5
9858,1.78,3
9859,stirring,10
9860,"2,700",6
9861,resumes,4
9862,grassroots,4
9863,outsize,3
9864,broom,20
9865,disintegrate,2
9866,sitting,255
9867,dejected,2
9868,penultimate,6
9869,plunging,3
9870,features,89
9871,underestimate,6
9872,regaining,3
9873,DR,1
9874,shunned,1
9875,idealist,1
9876,faithful,13
9877,41,17
9878,qualifications,25
9879,proven,16
9880,integrity,18
9881,inquisitorial,1
9882,anti-corruption,1
9883,combination,66
9884,wit,6
9885,self-confidence,2
9886,demoralised,2
9887,delivering,23
9888,impassioned,4
9889,throwing,29
9890,heaving,2
9891,shoulders,41
9892,confirms,7
9893,mainstream,13
9894,concentrating,20
9895,defending,15
9896,sparkling,19
9897,gold-rimmed,1
9898,spectacles,5
9899,indulging,4
9900,prefabricated,6
9901,speeches,9
9902,hated,31
9903,divorced,8
9904,Klaus,2
9905,father,383
9906,1920s,15
9907,Recalling,1
9908,classless,1
9909,myself,304
9910,Points,3
9911,Help,27
9912,embracing,5
9913,Endorse,1
9914,Accelerate,1
9915,Adopt,1
9916,guaranteeing,5
9917,Oslo,1
9918,reconsidering,1
9919,40-year,1
9920,Himalayan,2
9921,advocacy,3
9922,non-violence,1
9923,drew,54
9924,forcing,19
9925,rethink,2
9926,non-violent,1
9927,hatred,7
9928,exile,23
9929,retaining,20
9930,Daily,22
9931,Norwegian,8
9932,Jin,1
9933,Guihua,1
9934,encouragement,17
9935,rekindled,1
9936,deportation,5
9937,employers,39
9938,anti-immigrant,1
9939,-Reuter,11
9940,Roof,3
9941,kills,19
9942,Briton,3
9943,Edward,351
9944,Gait,1
9945,roof,87
9946,Arona,1
9947,Juba,2
9948,Brigadier,4
9949,Dominic,6
9950,Kassiano,1
9951,junta,1
9952,Guwat,1
9953,al-Mussalah,1
9954,Wau,1
9955,Malakal,1
9956,Belgian,8
9957,canonised,2
9958,cleric,2
9959,Mutien,1
9960,Marie,59
9961,Wiaux,1
9962,Troop,2
9963,pullout,2
9964,Fighting,10
9965,shortly,50
9966,Thousands,3
9967,Taiwanese,5
9968,10th,5
9969,Kaohsiung,1
9970,disturbances,4
9971,Operation,3
9972,hernia,5
9973,Bus,4
9974,skidded,3
9975,northeastern,2
9976,Assam,1
9977,Trust,44
9978,Passports,2
9979,detainees,2
9980,Mudar,3
9981,Badran,9
9982,responded,23
9983,passports,19
9984,confiscated,8
9985,offences,8
9986,amnesties,2
9987,Chad,8
9988,yes,1493
9989,Malaysia,11
9990,Quinlan,1
9991,under-secretary,3
9992,purchases,8
9993,Superpower,2
9994,mooted,6
9995,C,549
9996,pre-summit,2
9997,envisages,4
9998,dialogues,5
9999,Support,22
10000,Verification,3
10001,CIAV,2
10002,secretary-generals,2
10003,communique,6
10004,truce,2
10005,Andres,2
10006,Perez,2
10007,high-ranking,4
10008,repealed,3
10009,superpowers,12
10010,belatedly,4
10011,Bringing,6
10012,unwilling,8
10013,confront,6
10014,untenable,2
10015,guarantors,2
10016,discovery,19
10017,debris,17
10018,shipments,10
10019,stalled,3
10020,Guatemalan,3
10021,pessimistic,4
10022,gloom,13
10023,conniving,3
10024,Sharp,18
10025,mimimum,2
10026,demobilise,2
10027,disarm,2
10028,relocate,2
10029,Sargodha,2
10030,PAKISTAN,1
10031,Mirza,1
10032,Aslam,1
10033,Beg,11
10034,dedicated,28
10035,forging,3
10036,meddle,2
10037,cantonment,1
10038,scheming,2
10039,punctuated,7
10040,stablising,1
10041,Mohammad,1
10042,Zia-ul-Haq,1
10043,unexplained,3
10044,Briefing,2
10045,Zarb-e-Momin,1
10046,foe,2
10047,warmed,7
10048,unconvinced,2
10049,bolstered,3
10050,"150,000",2
10051,Emergency,7
10052,pleads,2
10053,plunged,7
10054,sentences,10
10055,manhunt,3
10056,at large,14
10057,meted,1
10058,penalty,41
10059,pilot,26
10060,wiping,9
10061,Mactan,1
10062,batch,16
10063,120,13
10064,Cagayan,1
10065,Oro,2
10066,Mindanao,1
10067,Urging,1
10068,trauma,3
10069,aggressor,1
10070,wrest,1
10071,helicopters,10
10072,flowers,198
10073,Atienza,1
10074,chief-of-staff,1
10075,Renato,1
10076,Villa,25
10077,rewards,7
10078,Around,20
10079,chanted,3
10080,mocked,3
10081,"1,800",1
10082,six-day,1
10083,snuffed,1
10084,Gringo,1
10085,Lieutenant-Colonel,2
10086,Rafael,1
10087,Galvez,1
10088,kidnappers,3
10089,FRANTIC,1
10090,Jammu,4
10091,secessionist,3
10092,Rubiya,1
10093,minibus,4
10094,JKNLF,5
10095,7pm,1
10096,Amanullah,1
10097,Rawalpindi,1
10098,traitor,4
10099,deported,6
10100,Kashmiri,2
10101,Birmingham-based,1
10102,prior,10
10103,abduction,1
10104,in contact with,7
10105,Mangat,1
10106,Sharma,2
10107,comply,24
10108,infant,16
10109,applauded,2
10110,lame-duck,1
10111,Farooq,1
10112,governing,14
10113,augment,5
10114,rushed,22
10115,Cat,15
10116,commando,3
10117,torrent,3
10118,kidnapping,1
10119,grossly,3
10120,un-Islamic,1
10121,third-year,1
10122,turbulent,8
10123,outright,15
10124,arming,4
10125,inspiring,6
10126,subversives,1
10127,denies,7
10128,Slave,1
10129,revived,8
10130,long-mocked,1
10131,reparations,4
10132,slavery,5
10133,$1.25,1
10134,Japanese-Americans,2
10135,Conyers,1
10136,Detroit,3
10137,remedies,3
10138,enacted,4
10139,re-open,3
10140,bruising,3
10141,"60,000",4
10142,"$20,000",1
10143,"£12,500",2
10144,1941,9
10145,Pearl,5
10146,Harbour,4
10147,Lawyers,2
10148,compensated,4
10149,personally,51
10150,whereas,65
10151,peculiar,32
10152,Reparations,1
10153,Fauntroy,1
10154,District,83
10155,Columbia,4
10156,helps,37
10157,stimulate,17
10158,restitution,2
10159,slaves,8
10160,Kwame,2
10161,Afo,2
10162,Provisional,4
10163,reparation,2
10164,$4.1,1
10165,trillion,1
10166,Alabama,1
10167,Mississippi,1
10168,Louisiana,2
10169,Carolina,2
10170,boot,20
10171,arrives,7
10172,fearsome,5
10173,hulking,1
10174,investigators,2
10175,sift,2
10176,files,37
10177,misdeeds,1
10178,Stasi,1
10179,legs,108
10180,snooping,1
10181,harassing,1
10182,Mielke,1
10183,secrets,10
10184,strings,12
10185,Lieutenant-General,2
10186,Schwanitz,1
10187,polish,21
10188,"20,000",7
10189,Former,5
10190,Bolivian,6
10191,Arce,5
10192,Gomez,5
10193,Bolivia,8
10194,enlisted,7
10195,SS,1
10196,Barbie,4
10197,advise,37
10198,ranch,1
10199,Santa,8
10200,Cruz,2
10201,Drug,5
10202,Enforcement,3
10203,whisked,3
10204,Held,3
10205,tight,60
10206,correctional,2
10207,distribute,18
10208,Guillermo,6
10209,Capobianco,2
10210,in connection with,10
10211,Calling,3
10212,sends,13
10213,vigorously,11
10214,Known,4
10215,confiscate,3
10216,bribes,5
10217,grisly,1
10218,Human,14
10219,hiring,8
10220,techniques,71
10221,GUIDING,1
10222,duly,14
10223,poet,27
10224,Yevgeny,1
10225,Yevtushenko,3
10226,10-day,1
10227,friction,8
10228,On behalf of,1
10229,guiding,9
10230,Replying,1
10231,briskly,3
10232,counted,27
10233,recommended,37
10234,considers,19
10235,revitalising,3
10236,implication,12
10237,aberration,4
10238,"1,138",1
10239,839,2
10240,58,5
10241,abstentions,2
10242,irritable,1
10243,wrangle,1
10244,unconstitutional,1
10245,limit,68
10246,Brezhnevite,1
10247,outdated,5
10248,Arnold,17
10249,Palm,1
10250,Balts,1
10251,juridical,1
10252,by no means,15
10253,definitely,93
10254,violating,4
10255,Rush,5
10256,arraignment,1
10257,Hit-squad,1
10258,informer,2
10259,uncovering,2
10260,hit-squad,1
10261,hurrying,6
10262,postponed,5
10263,hangman,2
10264,Durban,2
10265,confession,12
10266,Ahmed,6
10267,Motala,1
10268,postponement,2
10269,entertained,13
10270,So far as,4
10271,F.,18
10272,W.,40
10273,death-squad,1
10274,unhindered,2
10275,Van,19
10276,Eck,2
10277,squatter,1
10278,Crossroads,4
10279,recorded,87
10280,headmen,2
10281,alleging,5
10282,Five,85
10283,Zulu,4
10284,toll,12
10285,UDF,1
10286,warlords,1
10287,explosions,3
10288,railway,63
10289,Yusuf,1
10290,Akhalwaya,1
10291,fourth-year,2
10292,Witwatersrand,1
10293,Prakash,1
10294,Napier,5
10295,part-time,39
10296,landmines,1
10297,prematurely,6
10298,Soviet-made,1
10299,pistol,4
10300,six-week,1
10301,mysterious,19
10302,vigilantes,2
10303,commuters,4
10304,Maputo,1
10305,Mozambican,2
10306,Joaquim,2
10307,Chissano,2
10308,AIM,5
10309,repatriates,1
10310,Iain,2
10311,Guest,6
10312,OFFICIALS,1
10313,Refugees,6
10314,forcible,3
10315,repatriation,18
10316,51,14
10317,Jean-Pierre,1
10318,Hocke,1
10319,deterring,1
10320,backfire,3
10321,compulsory,24
10322,jeopardise,4
10323,Thailand,7
10324,In addition,40
10325,UNHCR,3
10326,637,1
10327,in terms of,178
10328,caseload,1
10329,pull,100
10330,resettlement,3
10331,pick,207
10332,persuasion,7
10333,invaded,12
10334,Chi,11
10335,Ma,7
10336,Wan,12
10337,Applications,3
10338,dried,36
10339,none,117
10340,"3,115",1
10341,forty,448
10342,Governments,5
10343,Vietnam,40
10344,Quiet,5
10345,desperation,6
10346,JAMES,2
10347,CLEMENTS,1
10348,jovial,2
10349,rotund,2
10350,Englishman,6
10351,Sek,2
10352,satisfaction,29
10353,inmates,5
10354,deportations,11
10355,planted,33
10356,uncomfortably,3
10357,airfield,2
10358,wide-scale,1
10359,in case,48
10360,surface,143
10361,Joan,393
10362,Summers,1
10363,Save,72
10364,Children,101
10365,overt,2
10366,landing,18
10367,conform,7
10368,privacy,8
10369,prey,63
10370,operating,109
10371,violently,9
10372,passivity,1
10373,deceptive,3
10374,Violent,1
10375,vigorous,19
10376,Call,23
10377,ONLY,4
10378,partisan,2
10379,related,154
10380,overloading,1
10381,co-legislating,1
10382,impulse,4
10383,passing,71
10384,concentrate,51
10385,appoint,19
10386,advent,12
10387,upbeat,3
10388,Roland,2
10389,Dumas,1
10390,painfully,6
10391,Dublin,23
10392,last-minute,2
10393,taxation,66
10394,decontrolling,1
10395,trans-national,1
10396,mergers,33
10397,Moreover,22
10398,sack,27
10399,vain,6
10400,Commentary,12
10401,urges,5
10402,enhanced,10
10403,Bloc,1
10404,architecture,49
10405,experiment,25
10406,evolve,5
10407,pillar,2
10408,concert,41
10409,roles,24
10410,evidenced,6
10411,co-ordination,2
10412,diversified,3
10413,endeavours,4
10414,overlap,42
10415,synergy,3
10416,Working,22
10417,accomplish,2
10418,Atlanticism,1
10419,limiting,11
10420,Ottawa,2
10421,Open,73
10422,Skies,1
10423,push,86
10424,establishing,20
10425,Arms,3
10426,Control,35
10427,assist,54
10428,monitoring,21
10429,confidence-building,2
10430,clearing-house,1
10431,proliferation,5
10432,chemical,38
10433,biological,10
10434,Intensified,1
10435,approaches,52
10436,CSCE,1
10437,gathers,5
10438,CHURCHMEN,1
10439,aggressive,14
10440,crept,7
10441,CDU,17
10442,pro-unity,1
10443,emotions,20
10444,flags,29
10445,stickers,5
10446,Stefan,7
10447,Heym,1
10448,reminded,31
10449,preceding,16
10450,Protestant,10
10451,Friedrich,2
10452,Magirius,1
10453,silent,36
10454,gain,96
10455,Pro-reunification,1
10456,protestors,2
10457,Marx,6
10458,screamed,9
10459,imported,16
10460,skinheads,1
10461,mutually,10
10462,stimulating,10
10463,obeying,4
10464,outcry,3
10465,protective,29
10466,shields,5
10467,stand-by,5
10468,evacuation,11
10469,perfectly,79
10470,aggravation,4
10471,frustration,11
10472,confidential,5
10473,arrangement,52
10474,disingenuous,1
10475,arriving,22
10476,destination,11
10477,unwanted,15
10478,methods,86
10479,migratory,4
10480,would-be,8
10481,paying,134
10482,unscrupulous,7
10483,season,170
10484,screened,4
10485,fishermen,10
10486,chasing,17
10487,volunteer,22
10488,Otherwise,19
10489,swamped,3
10490,humane,3
10491,unstressed,1
10492,tumble,3
10493,SENIOR,1
10494,accusations,4
10495,harshest,5
10496,ideologist,1
10497,Stoyan,1
10498,Mihailov,1
10499,disagreements,7
10500,reconvened,1
10501,Elazar,1
10502,lied,9
10503,Rabotnichesko,1
10504,Delo,1
10505,sums,35
10506,convertible,5
10507,publishers,24
10508,Pergamon,1
10509,owned,60
10510,Maxwell,34
10511,handled,12
10512,publishing,33
10513,levs,2
10514,"£150,000",3
10515,restructuring,18
10516,netted,5
10517,"42,000",2
10518,14-year,1
10519,salary,14
10520,44-volume,1
10521,collected,56
10522,bookshops,6
10523,Dertliev,1
10524,reformed,2
10525,Ecoglasnost,1
10526,Peruvian,9
10527,Reid,15
10528,TWO,9
10529,76,6
10530,absolved,4
10531,15-week,1
10532,Lurigancho,1
10533,124,2
10534,89,6
10535,Peru,9
10536,Garcia,7
10537,Maoist,2
10538,Sendero,2
10539,Luminoso,2
10540,reponsible,1
10541,Either,26
10542,efficiency,42
10543,Rolando,1
10544,Cabezas,2
10545,Guard,4
10546,Lieutenant,6
10547,Javier,1
10548,Marquina,1
10549,Jorge,1
10550,Rabanal,1
10551,slaughter,7
10552,defendents,1
10553,Col,2
10554,unarmed,7
10555,choosing,30
10556,reprisal,2
10557,villages,57
10558,Andes,4
10559,anti-guerrilla,1
10560,vigilante,1
10561,SPURRED,1
10562,imminent,13
10563,recasting,1
10564,rapid-deployment,1
10565,intervene,14
10566,spots,26
10567,situations,36
10568,title,79
10569,Carl,101
10570,Vuono,1
10571,corps,4
10572,"764,000",1
10573,"630,000",1
10574,flurry,3
10575,knives,11
10576,carve,6
10577,dividend,85
10578,arouse,3
10579,invades,2
10580,functional,11
10581,Marine,6
10582,Corps,11
10583,leaked,6
10584,Times,63
10585,Services,56
10586,Wolfowitz,3
10587,scaling,6
10588,stabilised,1
10589,seeing,101
10590,introduces,5
10591,unpredictability,3
10592,Paradoxically,2
10593,uncertainties,11
10594,possibilities,25
10595,classic,31
10596,mix,63
10597,artillery,10
10598,Nato-Warsaw,1
10599,transformed,24
10600,Ranger,5
10601,Battalions,9
10602,counter-terrorist,1
10603,XVIII,1
10604,paratroops,2
10605,cavalry,4
10606,mechanised,4
10607,reinforce,11
10608,panel,39
10609,Nunn,3
10610,furious,9
10611,showing,107
10612,cut-backs,1
10613,plutonium,12
10614,Kevin,44
10615,Sullivan,3
10616,Tokyo,12
10617,JAPAN,2
10618,escorts,1
10619,forbids,2
10620,territorial,17
10621,waters,24
10622,safeguard,13
10623,approaching,26
10624,spend,145
10625,yen,3
10626,£68,2
10627,designated,13
10628,Atomic,1
10629,facilities,161
10630,import,19
10631,153,3
10632,volatile,4
10633,fossil,5
10634,reserves,48
10635,stockpile,1
10636,transform,32
10637,plentiful,6
10638,140,6
10639,Maritime,3
10640,Self-Defence,1
10641,accompany,19
10642,warships,2
10643,contravening,1
10644,clauses,13
10645,warn,11
10646,Toshiki,1
10647,Kaifu,2
10648,favours,3
10649,"6,000-tonne",1
10650,patrol,8
10651,specifically,51
10652,Safety,17
10653,stipulation,4
10654,irradiated,1
10655,Sellafield,1
10656,Havre,1
10657,processing,45
10658,origin,60
10659,withstand,11
10660,contended,3
10661,transportation,6
10662,importing,6
10663,non-nuclear,1
10664,Making,17
10665,accidents,21
10666,Leaders,2
10667,Everybody,49
10668,Reichler,1
10669,relating,36
10670,10-year-old,2
10671,channelled,10
10672,Guatemala,3
10673,hostilities,4
10674,renounce,3
10675,indirectly,7
10676,affects,16
10677,verifying,1
10678,aiding,4
10679,renew,5
10680,re-establishing,1
10681,surface-to-air,1
10682,Diplomats,2
10683,strengthened,10
10684,besieged,2
10685,Nationalist,3
10686,vowed,5
10687,Azcona,1
10688,suit,100
10689,reject,13
10690,contrary to,16
10691,unconditionally,3
10692,violator,1
10693,THIRD,1
10694,allocating,7
10695,servicing,14
10696,Unicef,3
10697,dying,62
10698,seconds,66
10699,"8,000",2
