,Term,BNC_Sampler_Counts
424,Reagan,13
425,Indeed,85
426,because of,296
427,deficiencies,4
428,Air,31
429,change,623
430,its,1996
431,plans,175
432,dish,23
433,extra,227
434,correct,117
435,Politicians,6
436,unions,77
437,fear,120
438,unrest,19
439,over,2087
440,"600,000",5
441,arrivals,10
442,Bonn,22
443,benefit,199
444,refugee,8
445,influx,14
446,Anna,24
447,Tomforde,11
448,WEST,9
449,German,252
450,economists,14
451,optimistic,21
452,ability,103
453,absorb,7
454,hundreds,62
455,thousands,99
456,refugees,30
457,Eastern,106
458,Europe,363
459,enhance,15
460,productivity,19
461,economic,316
462,growth,215
463,This,1651
464,optimism,16
465,however,328
466,shared,113
467,many,1436
468,politicians,36
469,trade,288
470,union,249
471,An,335
472,immigrants,12
473,[mdash ],3460
474,ethnic,50
475,Germans,57
476,Poland,50
477,Union,159
478,settle,28
479,Germany,264
480,making,506
481,1,453
482,per cent,357
483,population,237
484,According to,46
485,Dieter,1
486,Brauninger,3
487,economist,16
488,Deutsche,1
489,Bank,145
490,Frankfurt,6
491,newcomers,13
492,arrived,135
493,better,728
494,:,3560
495,period,329
496,dynamic,14
497,when,3968
498,gaps,13
499,created,151
500,fall,167
501,birth,46
502,rate,257
503,past,540
504,need,1307
505,filled,101
506,In,1883
507,medium,72
508,longer,129
509,term,175
510,we,11634
511,both,909
512,consumption,17
513,rise,190
514,turn,479
515,beneficial,18
516,effect,323
517,investment,129
518,Economists,5
519,believe,433
520,boost,45
521,labour,97
522,force,191
523,worth,229
524,additional,133
525,early,479
526,1990s,11
527,Such,95
528,forecasts,15
529,Federal,30
530,Labour,240
531,Office,91
532,It,5172
533,ignoring,12
534,difficulties,89
535,integration,29
536,especially,214
537,large,505
538,families,121
539,language,129
540,However,372
541,president,57
542,office,287
543,Egon,6
544,Franke,1
545,unemployment,79
546,among,214
547,risen,18
548,sharply,15
549,October,148
550,still,1473
551,only,2612
552,temporary,54
553,phenomenon,29
554,opportunities,79
555,remain,145
556,good,2136
557,miracles,3
558,overnight,37
559,coincides,2
560,boom,17
561,building,297
562,sector,76
563,spurred,6
564,further,486
565,housing,82
566,Yesterday,28
567,DM8billion,1
568,(,5480
569,£2.7billion,1
570,),5528
571,package,72
572,construction,113
573,whose,237
574,number,1164
575,reached,96
576,"190,000",3
577,far,542
578,put,2176
579,"260,000",1
580,With,285
581,accommodation,82
582,increasingly,70
583,hard,379
584,find,739
585,school,559
586,gymnasiums,1
587,boats,35
588,converted,30
589,cargo,7
590,containers,22
591,shelters,9
592,being,1393
593,used,1398
594,house,779
595,Sociologists,1
596,agree,194
597,poses,8
598,minor,67
599,problem,608
600,compared,100
601,social,238
602,aspect,68
603,high,541
604,motivation,13
605,skills,116
606,adaptability,1
607,create,149
608,tensions,9
609,jealousy,4
610,Recent,11
611,warnings,10
612,all,6136
613,parties,233
614,continue,194
615,indefinitely,4
616,therefore,362
617,seen,693
618,based,307
619,primarily,32
620,fears,55
621,established,132
622,stand,216
623,lose,125
624,votes,421
625,extreme,48
626,right,2333
627,notably,29
628,Republican,33
629,Party,275
630,wage,35
631,demands,75
632,lowered,17
633,',761
634,greater,219
635,flexibility,33
636,readiness,13
637,less,511
638,money,888
639,A,2374
640,key,184
641,factor,90
642,superficial,9
643,perception,9
644,taking,394
645,jobs,253
646,1.8million,1
647,unemployed,67
648,workers,141
649,mobile,27
650,flexible,29
651,here,1916
652,split,80
653,market,630
654,explained,107
655,Despite,54
656,areas,461
657,there,7539
658,were,5943
659,openings,5
660,sectors,21
661,such as,283
662,engineering,51
663,industries,93
664,south,119
665,gap,38
666,Nonetheless,35
667,short-term,24
668,likely,339
