,Synsets,domain_x,nrhypos_x,nrdirhypers_x,nrpartrels_x,depthfromtopsynset_x,glosslength_x,minwordlength_x,nroflemmas_x,polyscore_max_x,ngrams_last_mean,nrpartrels_normalised_x,depthfromtopsynset_normalised_x,glosslength_normalised_x,res_ngrams_2008_mean,ngrams_2008_mean_log_y,ngrams_sum08,ngrams_max08,All_CHILDES_mean,All_CHILDES_mean_log,CHILDES_sum,CHILDES_Sum_log,CHILDES_max,CHILDES_max_log,KBNC_mean,KBNC_mean_log,KBNC_Sum,KBNC_Sum_log,KBNC_max,KBNC_max_log,CABNC_mean,CABNC_mean_log,CABNC_sum,CABNC_Sum_log,CABNC_max,CABNC_max_log,BNC_mean,BNC_mean_log,BNC_sum,BNC_Sum_log,BNC_max,BNC_max_log,A1_Label,A2_Label,A3_Label,MV,vote_x,CHILDES_Rel_mean,KBNC_Rel_mean,CABNC_Rel_mean,BNC_Rel_mean,CHILDES_Rel_mean_log,KBNC_Rel_mean_log,CABNC_Rel_mean_log,BNC_Rel_mean_log,CHILDES_Sum_Rel,KBNC_Sum_Rel,CABNC_Sum_Rel,BNC_Sum_Rel,CHILDES_appear,KBNC_appear,CABNC_appear,BNC_appear,"CHILDES_per100,000","KBNC_per100,000","CABNC_per100,000","BNC_per100,000",CHILDES_perMillionWords,KBNC_perMillionWords,CABNC_perMillionWords,BNC_perMillionWords,BNC_Gen_Sum,BNC_Gen_Mean,BNC_Gen_Max,BNC_Gen_Rel_Sum,BNC_Gen_Rel_Mean,BNC_Gen_Rel_Max,BNC_Gen_Rel_Sum_log,BNC_Gen_Rel_Mean_log,BNC_Gen_Rel_Max_log,BNC_Sampler_Sum,BNC_Sampler_Mean,BNC_Sampler_Max,BNC_Gen_Sum_log,BNC_Gen_Mean_log,BNC_Gen_Max_log,BNC_Sampler_Sum_log,BNC_Sampler_Mean_log,BNC_Sampler_Max_log,BNC_Sampler_Rel_Sum,BNC_Sampler_Rel_Mean,BNC_Sampler_Rel_Max,BNC_Sampler_Rel_Sum_log,BNC_Sampler_Rel_Mean_log,BNC_Sampler_Rel_Max_log,BNC_Baby_Sum,BNC_Baby_Mean,BNC_Baby_Max,BNC_Baby_Sum_log,BNC_Baby_Mean_log,BNC_Baby_Max_log,BNC_Baby_Rel_Sum,BNC_Baby_Rel_Mean,BNC_Baby_Rel_Max,BNC_Baby_Rel_Sum_log,BNC_Baby_Rel_Mean_log,BNC_Baby_Rel_Max_log
459,Synset('sofa.n.01'),furn,9,1,0,9,44,4,3,4,-11.873709249309016,0.0,0.9302203567681008,0.8210665908875627,6.971297125346609e-06,-11.873709249309016,2.0913891376039828e-05,9.539578968542628e-06,112.66666666666669,4.724433606814909,338.0,5.823045895483019,185.0,5.220355825078324,11.333333333333334,2.427748235948052,34.0,3.5263605246161616,21.0,3.044522437723423,30.0,3.4011973816621555,90.0,4.499809670330265,74.0,4.30406509320417,884.3333333333334,6.78483406546963,2653.0,7.88344635413774,1291.0,7.1631723908466425,b,b,b,b,b,1.977929582897955e-05,1.0341510122057197e-05,1.2438574174534756e-05,7.897379668477349e-06,-10.83087483255611,-11.479344652927145,-11.294708093417134,-11.748979541046287,5.9337887486938646e-05,3.102453036617158e-05,3.7315722523604265e-05,2.369213900543205e-05,1,1,1,1,5.933788748693864,3.1024530366171583,3.731572252360426,2.3692139005432047,59.33788748693864,31.024530366171582,37.315722523604265,23.692139005432047,301.0,100.33333333333331,127.0,3.003266376457345e-05,1.0010887921524484e-05,1.267158903023531e-05,-10.413224976453954,-11.511837265122065,-11.276148154744238,64.0,21.33333333333333,32.0,5.707110264748875,4.608497976080766,4.844187086458591,4.158883083359672,3.060270794691562,3.4657359027997265,2.807810627212248e-05,9.35936875737416e-06,1.403905313606124e-05,-10.480520421532352,-11.579132710200462,-11.173667602092298,55.0,18.33333333333333,28.0,4.007333185232471,2.908720896564361,3.332204510175204,4.541206078280485e-05,1.5137353594268282e-05,2.311886730760974e-05,-9.999732832188364,-11.098345120856472,-10.67486150724563
460,Synset('stool.n.01'),furn,7,1,0,9,36,5,1,8,-12.135862460341622,0.0,0.9302203567681008,0.6717817561807331,5.3636681514035445e-06,-12.135862460341622,5.3636681514035445e-06,5.3636681514035445e-06,218.0,5.384495062789089,218.0,5.384495062789089,218.0,5.384495062789089,25.0,3.218875824868201,25.0,3.218875824868201,25.0,3.218875824868201,17.0,2.833213344056216,17.0,2.833213344056216,17.0,2.833213344056216,797.0,6.680854678790215,797.0,6.680854678790215,797.0,6.680854678790215,b,b,b,b,b,3.827118187027404e-05,2.2812154681008515e-05,7.048525365569695e-06,7.117465053648451e-06,-10.17081337658193,-10.688217064006992,-11.862692131023074,-11.852958927725703,3.827118187027404e-05,2.2812154681008515e-05,7.048525365569695e-06,7.117465053648451e-06,1,1,1,1,3.8271181870274034,2.2812154681008514,0.7048525365569694,0.7117465053648451,38.27118187027404,22.812154681008515,7.048525365569695,7.117465053648451,103.0,103.0,103.0,1.0276958032395566e-05,1.0276958032395566e-05,1.0276958032395566e-05,-11.485606252973191,-11.485606252973191,-11.485606252973191,11.0,11.0,11.0,4.634728988229636,4.634728988229636,4.634728988229636,2.3978952727983707,2.3978952727983707,2.3978952727983707,4.8259245155210505e-06,4.8259245155210505e-06,4.8259245155210505e-06,-12.241508232093654,-12.241508232093654,-12.241508232093654,27.0,27.0,27.0,3.295836866004329,3.295836866004329,3.295836866004329,2.2293193475195105e-05,2.2293193475195105e-05,2.2293193475195105e-05,-10.711229151416504,-10.711229151416504,-10.711229151416504
461,Synset('toilet_seat.n.01'),furn,0,1,1,9,27,11,1,1,-15.555355618324244,3.126984126984127,0.9302203567681008,0.5038363171355499,1.7554759779159212e-07,-15.555355618324244,1.7554759779159212e-07,1.7554759779159212e-07,1e-10,-23.025850929940457,1e-10,-23.025850929940457,1e-10,-23.025850929940457,1e-10,-23.025850929940457,1e-10,-23.025850929940457,1e-10,-23.025850929940457,1e-10,-23.025850929940457,1e-10,-23.025850929940457,1e-10,-23.025850929940457,1e-10,-23.025850929940457,1e-10,-23.025850929940457,1e-10,-23.025850929940457,b,b,b,b,b,1.7555588013887174e-17,9.124861872403407e-17,4.146191391511586e-17,8.930320017124781e-19,-38.58115936931148,-36.93294381881565,-37.72175640501975,-41.55966453645637,1.7555588013887174e-17,9.124861872403407e-17,4.146191391511586e-17,8.930320017124781e-19,0,0,0,0,1.7555588013887177e-12,9.124861872403408e-12,4.146191391511586e-12,8.930320017124784e-14,1.7555588013887175e-11,9.124861872403407e-11,4.1461913915115854e-11,8.930320017124786e-13,1e-10,1e-10,1e-10,9.977629157665598e-18,9.977629157665598e-18,9.977629157665598e-18,-39.146186171143285,-39.146186171143285,-39.146186171143285,1e-10,1e-10,1e-10,-23.025850929940457,-23.025850929940457,-23.025850929940457,-23.025850929940457,-23.025850929940457,-23.025850929940457,4.387204105019137e-17,4.387204105019137e-17,4.387204105019137e-17,-37.66525443483248,-37.66525443483248,-37.66525443483248,1e-10,1e-10,1e-10,-23.025850929940457,-23.025850929940457,-23.025850929940457,8.256738324146335e-17,8.256738324146335e-17,8.256738324146335e-17,-37.032916947361294,-37.032916947361294,-37.032916947361294
462,Synset('breakfast_table.n.01'),furn,0,1,0,9,32,15,1,1,-14.388623878851824,0.0,0.9302203567681008,0.5971393388273184,5.637675144498644e-07,-14.388623878851824,5.637675144498644e-07,5.637675144498644e-07,1e-10,-23.025850929940457,1e-10,-23.025850929940457,1e-10,-23.025850929940457,1e-10,-23.025850929940457,1e-10,-23.025850929940457,1e-10,-23.025850929940457,1e-10,-23.025850929940457,1e-10,-23.025850929940457,1e-10,-23.025850929940457,1e-10,-23.025850929940457,1e-10,-23.025850929940457,1e-10,-23.025850929940457,l,l,l,l,nb,1.7555588013887174e-17,9.124861872403407e-17,4.146191391511586e-17,8.930320017124781e-19,-38.58115936931148,-36.93294381881565,-37.72175640501975,-41.55966453645637,1.7555588013887174e-17,9.124861872403407e-17,4.146191391511586e-17,8.930320017124781e-19,0,0,0,0,1.7555588013887177e-12,9.124861872403408e-12,4.146191391511586e-12,8.930320017124784e-14,1.7555588013887175e-11,9.124861872403407e-11,4.1461913915115854e-11,8.930320017124786e-13,1e-10,1e-10,1e-10,9.977629157665598e-18,9.977629157665598e-18,9.977629157665598e-18,-39.146186171143285,-39.146186171143285,-39.146186171143285,1e-10,1e-10,1e-10,-23.025850929940457,-23.025850929940457,-23.025850929940457,-23.025850929940457,-23.025850929940457,-23.025850929940457,4.387204105019137e-17,4.387204105019137e-17,4.387204105019137e-17,-37.66525443483248,-37.66525443483248,-37.66525443483248,1e-10,1e-10,1e-10,-23.025850929940457,-23.025850929940457,-23.025850929940457,8.256738324146335e-17,8.256738324146335e-17,8.256738324146335e-17,-37.032916947361294,-37.032916947361294,-37.032916947361294
463,Synset('card_table.n.01'),furn,0,1,0,9,42,10,1,2,-15.531404054294091,0.0,0.9302203567681008,0.7837453822108553,1.7980299560349525e-07,-15.531404054294091,1.7980299560349525e-07,1.7980299560349525e-07,1e-10,-23.025850929940457,1e-10,-23.025850929940457,1e-10,-23.025850929940457,1e-10,-23.025850929940457,1e-10,-23.025850929940457,1e-10,-23.025850929940457,1e-10,-23.025850929940457,1e-10,-23.025850929940457,1e-10,-23.025850929940457,1e-10,-23.025850929940457,1e-10,-23.025850929940457,1e-10,-23.025850929940457,l,l,l,l,nb,1.7555588013887174e-17,9.124861872403407e-17,4.146191391511586e-17,8.930320017124781e-19,-38.58115936931148,-36.93294381881565,-37.72175640501975,-41.55966453645637,1.7555588013887174e-17,9.124861872403407e-17,4.146191391511586e-17,8.930320017124781e-19,0,0,0,0,1.7555588013887177e-12,9.124861872403408e-12,4.146191391511586e-12,8.930320017124784e-14,1.7555588013887175e-11,9.124861872403407e-11,4.1461913915115854e-11,8.930320017124786e-13,1e-10,1e-10,1e-10,9.977629157665598e-18,9.977629157665598e-18,9.977629157665598e-18,-39.146186171143285,-39.146186171143285,-39.146186171143285,1e-10,1e-10,1e-10,-23.025850929940457,-23.025850929940457,-23.025850929940457,-23.025850929940457,-23.025850929940457,-23.025850929940457,4.387204105019137e-17,4.387204105019137e-17,4.387204105019137e-17,-37.66525443483248,-37.66525443483248,-37.66525443483248,1e-10,1e-10,1e-10,-23.025850929940457,-23.025850929940457,-23.025850929940457,8.256738324146335e-17,8.256738324146335e-17,8.256738324146335e-17,-37.032916947361294,-37.032916947361294,-37.032916947361294
464,Synset('card_table.n.02'),furn,0,1,0,9,64,10,1,2,-15.531404054294091,0.0,0.9302203567681008,1.1942786776546368,1.7980299560349525e-07,-15.531404054294091,1.7980299560349525e-07,1.7980299560349525e-07,1e-10,-23.025850929940457,1e-10,-23.025850929940457,1e-10,-23.025850929940457,1e-10,-23.025850929940457,1e-10,-23.025850929940457,1e-10,-23.025850929940457,1e-10,-23.025850929940457,1e-10,-23.025850929940457,1e-10,-23.025850929940457,1e-10,-23.025850929940457,1e-10,-23.025850929940457,1e-10,-23.025850929940457,l,l,l,l,nb,1.7555588013887174e-17,9.124861872403407e-17,4.146191391511586e-17,8.930320017124781e-19,-38.58115936931148,-36.93294381881565,-37.72175640501975,-41.55966453645637,1.7555588013887174e-17,9.124861872403407e-17,4.146191391511586e-17,8.930320017124781e-19,0,0,0,0,1.7555588013887177e-12,9.124861872403408e-12,4.146191391511586e-12,8.930320017124784e-14,1.7555588013887175e-11,9.124861872403407e-11,4.1461913915115854e-11,8.930320017124786e-13,1e-10,1e-10,1e-10,9.977629157665598e-18,9.977629157665598e-18,9.977629157665598e-18,-39.146186171143285,-39.146186171143285,-39.146186171143285,1e-10,1e-10,1e-10,-23.025850929940457,-23.025850929940457,-23.025850929940457,-23.025850929940457,-23.025850929940457,-23.025850929940457,4.387204105019137e-17,4.387204105019137e-17,4.387204105019137e-17,-37.66525443483248,-37.66525443483248,-37.66525443483248,1e-10,1e-10,1e-10,-23.025850929940457,-23.025850929940457,-23.025850929940457,8.256738324146335e-17,8.256738324146335e-17,8.256738324146335e-17,-37.032916947361294,-37.032916947361294,-37.032916947361294
465,Synset('coffee_table.n.01'),furn,0,1,0,9,74,12,2,1,-14.397337832206512,0.0,0.9302203567681008,1.3808847210381736,5.588762128638791e-07,-14.397337832206512,1.1177524257277582e-06,1.1014155916200252e-06,1e-10,-23.025850929940457,1e-10,-23.025850929940457,1e-10,-23.025850929940457,1e-10,-23.025850929940457,1e-10,-23.025850929940457,1e-10,-23.025850929940457,1e-10,-23.025850929940457,1e-10,-23.025850929940457,1e-10,-23.025850929940457,1e-10,-23.025850929940457,1e-10,-23.025850929940457,1e-10,-23.025850929940457,l,l,l,l,nb,1.7555588013887174e-17,9.124861872403407e-17,4.146191391511586e-17,8.930320017124781e-19,-38.58115936931148,-36.93294381881565,-37.72175640501975,-41.55966453645637,1.7555588013887174e-17,9.124861872403407e-17,4.146191391511586e-17,8.930320017124781e-19,0,0,0,0,1.7555588013887177e-12,9.124861872403408e-12,4.146191391511586e-12,8.930320017124784e-14,1.7555588013887175e-11,9.124861872403407e-11,4.1461913915115854e-11,8.930320017124786e-13,1e-10,1e-10,1e-10,9.977629157665598e-18,9.977629157665598e-18,9.977629157665598e-18,-39.146186171143285,-39.146186171143285,-39.146186171143285,1e-10,1e-10,1e-10,-23.025850929940457,-23.025850929940457,-23.025850929940457,-23.025850929940457,-23.025850929940457,-23.025850929940457,4.387204105019137e-17,4.387204105019137e-17,4.387204105019137e-17,-37.66525443483248,-37.66525443483248,-37.66525443483248,1e-10,1e-10,1e-10,-23.025850929940457,-23.025850929940457,-23.025850929940457,8.256738324146335e-17,8.256738324146335e-17,8.256738324146335e-17,-37.032916947361294,-37.032916947361294,-37.032916947361294
466,Synset('conference_table.n.01'),furn,0,1,1,9,58,13,3,1,-15.941504464939166,3.126984126984127,0.9302203567681008,1.0823150516245146,1.1931432197798133e-07,-15.941504464939166,3.57942965933944e-07,2.895141335557128e-07,1e-10,-23.025850929940457,1e-10,-23.025850929940457,1e-10,-23.025850929940457,1e-10,-23.025850929940457,1e-10,-23.025850929940457,1e-10,-23.025850929940457,1e-10,-23.025850929940457,1e-10,-23.025850929940457,1e-10,-23.025850929940457,1e-10,-23.025850929940457,1e-10,-23.025850929940457,1e-10,-23.025850929940457,l,l,l,l,nb,1.7555588013887174e-17,9.124861872403407e-17,4.146191391511586e-17,8.930320017124781e-19,-38.58115936931148,-36.93294381881565,-37.72175640501975,-41.55966453645637,1.7555588013887174e-17,9.124861872403407e-17,4.146191391511586e-17,8.930320017124781e-19,0,0,0,0,1.7555588013887177e-12,9.124861872403408e-12,4.146191391511586e-12,8.930320017124784e-14,1.7555588013887175e-11,9.124861872403407e-11,4.1461913915115854e-11,8.930320017124786e-13,1e-10,1e-10,1e-10,9.977629157665598e-18,9.977629157665598e-18,9.977629157665598e-18,-39.146186171143285,-39.146186171143285,-39.146186171143285,1e-10,1e-10,1e-10,-23.025850929940457,-23.025850929940457,-23.025850929940457,-23.025850929940457,-23.025850929940457,-23.025850929940457,4.387204105019137e-17,4.387204105019137e-17,4.387204105019137e-17,-37.66525443483248,-37.66525443483248,-37.66525443483248,1e-10,1e-10,1e-10,-23.025850929940457,-23.025850929940457,-23.025850929940457,8.256738324146335e-17,8.256738324146335e-17,8.256738324146335e-17,-37.032916947361294,-37.032916947361294,-37.032916947361294
467,Synset('console_table.n.01'),furn,0,1,0,9,65,7,2,5,-12.867650216283444,0.0,0.9302203567681008,1.2129392819929905,2.5801830387806035e-06,-12.867650216283444,5.160366077561207e-06,5.137572770763654e-06,1.0,0.0,1.0,0.0,1.0,0.0,1e-10,-23.025850929940457,1e-10,-23.025850929940457,1e-10,-23.025850929940457,5.0,1.6094379124341005,5.0,1.6094379124341005,5.0,1.6094379124341005,356.0,5.87493073085203,356.0,5.87493073085203,356.0,5.87493073085203,l,l,l,l,nb,1.7555588013887174e-07,9.124861872403407e-17,2.0730956957557925e-06,3.179193926096422e-06,-15.55530843937102,-36.93294381881565,-13.08646756264519,-12.658882875663888,1.7555588013887174e-07,9.124861872403407e-17,2.0730956957557925e-06,3.179193926096422e-06,1,0,1,1,0.0175555880138871,9.124861872403408e-12,0.2073095695755792,0.3179193926096422,0.1755558801388717,9.124861872403407e-11,2.0730956957557924,3.1791939260964224,37.0,37.0,37.0,3.691722788336271e-06,3.691722788336271e-06,3.691722788336271e-06,-12.509417328558603,-12.509417328558603,-12.509417328558603,8.0,8.0,8.0,3.610917912644224,3.610917912644224,3.610917912644224,2.079441541679836,2.079441541679836,2.079441541679836,3.5097632840153098e-06,3.5097632840153098e-06,3.5097632840153098e-06,-12.559961963212189,-12.559961963212189,-12.559961963212189,9.0,9.0,9.0,2.19722457733622,2.19722457733622,2.19722457733622,7.4310644917317026e-06,7.4310644917317026e-06,7.4310644917317026e-06,-11.809841440084616,-11.809841440084616,-11.809841440084616
468,Synset('desk.n.01'),furn,3,1,1,9,85,4,1,1,-10.547385326875457,3.126984126984127,0.9302203567681008,1.5861513687600644,2.626205787237268e-05,-10.547385326875457,2.626205787237268e-05,2.626205787237268e-05,64.0,4.158883083359672,64.0,4.158883083359672,64.0,4.158883083359672,112.0,4.718498871295094,112.0,4.718498871295094,112.0,4.718498871295094,74.0,4.30406509320417,74.0,4.30406509320417,74.0,4.30406509320417,3983.0,8.289790583181643,3983.0,8.289790583181643,3983.0,8.289790583181643,b,b,b,b,b,1.123557632888779e-05,0.0001021984529709,3.068181629718573e-05,3.5569464628208e-05,-11.396425356011347,-9.1885940175801,-10.39184038187512,-10.244023023334274,1.123557632888779e-05,0.0001021984529709,3.068181629718573e-05,3.5569464628208e-05,1,1,1,1,1.123557632888779,10.219845297091815,3.0681816297185733,3.5569464628208007,11.23557632888779,102.19845297091815,30.68181629718573,35.569464628208,556.0,556.0,556.0,5.5475618116620727e-05,5.5475618116620727e-05,5.5475618116620727e-05,-9.799566946952249,-9.799566946952249,-9.799566946952249,57.0,57.0,57.0,6.320768294250582,6.320768294250582,6.320768294250582,4.04305126783455,4.04305126783455,4.04305126783455,2.500706339860908e-05,2.500706339860908e-05,2.500706339860908e-05,-10.596352237057474,-10.596352237057474,-10.596352237057474,215.0,215.0,215.0,5.3706380281276624,5.3706380281276624,5.3706380281276624,0.0001775198739691,0.0001775198739691,0.0001775198739691,-8.636427989293171,-8.636427989293171,-8.636427989293171
