,Synsets,domain_x,nrhypos_x,nrdirhypers_x,nrpartrels_x,depthfromtopsynset_x,glosslength_x,minwordlength_x,nroflemmas_x,polyscore_max_x,ngrams_last_mean,nrpartrels_normalised_x,depthfromtopsynset_normalised_x,glosslength_normalised_x,res_ngrams_2008_mean,ngrams_2008_mean_log_y,ngrams_sum08,ngrams_max08,All_CHILDES_mean,All_CHILDES_mean_log,CHILDES_sum,CHILDES_Sum_log,CHILDES_max,CHILDES_max_log,KBNC_mean,KBNC_mean_log,KBNC_Sum,KBNC_Sum_log,KBNC_max,KBNC_max_log,CABNC_mean,CABNC_mean_log,CABNC_sum,CABNC_Sum_log,CABNC_max,CABNC_max_log,BNC_mean,BNC_mean_log,BNC_sum,BNC_Sum_log,BNC_max,BNC_max_log,A1_Label,A2_Label,A3_Label,MV,vote_x,CHILDES_Rel_mean,KBNC_Rel_mean,CABNC_Rel_mean,BNC_Rel_mean,CHILDES_Rel_mean_log,KBNC_Rel_mean_log,CABNC_Rel_mean_log,BNC_Rel_mean_log,CHILDES_Sum_Rel,KBNC_Sum_Rel,CABNC_Sum_Rel,BNC_Sum_Rel,CHILDES_appear,KBNC_appear,CABNC_appear,BNC_appear,"CHILDES_per100,000","KBNC_per100,000","CABNC_per100,000","BNC_per100,000",CHILDES_perMillionWords,KBNC_perMillionWords,CABNC_perMillionWords,BNC_perMillionWords,binary
398,Synset('cymbal.n.01'),music,2,1,0,9,145,6,1,1,-15.08102904,0.0,0.8929219600725952,1.8351597468745176,2.820929978497589e-07,-15.081029040764566,2.820929978497589e-07,2.820929978497589e-07,4.0,1.3862943611198906,4.0,1.3862943611198906,4.0,1.3862943611198906,1e-10,-23.025850929940457,1e-10,-23.025850929940457,1e-10,-23.025850929940457,1e-10,-23.025850929940457,1e-10,-23.025850929940457,1e-10,-23.025850929940457,19.0,2.9444389791664403,19.0,2.9444389791664403,19.0,2.9444389791664403,b,h,b,b,b,7.022235205554869e-07,9.124861872403407e-17,4.146191391511586e-17,1.6967608032537086e-07,-14.169014078251127,-36.93294381881565,-37.72175640501975,-15.589374627349478,7.022235205554869e-07,9.124861872403407e-17,4.146191391511586e-17,1.6967608032537086e-07,1,0,0,1,0.0702223520555486,9.124861872403408e-12,4.146191391511586e-12,0.016967608032537,0.7022235205554869,9.124861872403407e-11,4.1461913915115854e-11,0.1696760803253708,b
407,Synset('electric_organ.n.01'),music,0,1,0,9,48,5,4,6,-12.3558765,0.0,0.8929219600725952,0.6075011575860472,4.304384098929859e-06,-12.355876496770232,1.7217536395719435e-05,1.7157373804366216e-05,1e-10,-23.025850929940457,1e-10,-23.025850929940457,1e-10,-23.025850929940457,10.0,2.302585092994046,10.0,2.302585092994046,10.0,2.302585092994046,25.0,3.218875824868201,25.0,3.218875824868201,25.0,3.218875824868201,1233.0,7.117205503164344,1233.0,7.117205503164344,1233.0,7.117205503164344,l,b,b,b,b,1.7555588013887174e-17,9.124861872403406e-06,1.0365478478778964e-05,1.1011084581114856e-05,-38.58115936931148,-11.604507795881148,-11.477029650211088,-11.416608103351574,1.7555588013887174e-17,9.124861872403406e-06,1.0365478478778964e-05,1.1011084581114856e-05,0,1,1,1,1.7555588013887177e-12,0.9124861872403408,1.0365478478778962,1.1011084581114856,1.7555588013887175e-11,9.124861872403406,10.365478478778964,11.011084581114856,b
409,Synset('english_horn.n.01'),music,0,1,0,12,71,11,2,1,-17.28972454,0.0,1.190562613430127,0.8985954622626948,3.0986179844205715e-08,-17.289724543341983,6.197235968841143e-08,4.700508071664444e-08,1e-10,-23.025850929940457,1e-10,-23.025850929940457,1e-10,-23.025850929940457,1e-10,-23.025850929940457,1e-10,-23.025850929940457,1e-10,-23.025850929940457,1e-10,-23.025850929940457,1e-10,-23.025850929940457,1e-10,-23.025850929940457,1e-10,-23.025850929940457,1e-10,-23.025850929940457,1e-10,-23.025850929940457,l,b,b,b,b,1.7555588013887174e-17,9.124861872403407e-17,4.146191391511586e-17,8.930320017124781e-19,-38.58115936931148,-36.93294381881565,-37.72175640501975,-41.55966453645637,1.7555588013887174e-17,9.124861872403407e-17,4.146191391511586e-17,8.930320017124781e-19,0,0,0,0,1.7555588013887177e-12,9.124861872403408e-12,4.146191391511586e-12,8.930320017124784e-14,1.7555588013887175e-11,9.124861872403407e-11,4.1461913915115854e-11,8.930320017124784e-13,b
419,Synset('free-reed.n.01'),music,0,1,1,11,50,9,1,1,-18.84861774,3.9047619047619047,1.0913490623109496,0.6328137058187991,6.518524831022887e-09,-18.8486177395175,6.518524831022887e-09,6.518524831022887e-09,1e-10,-23.025850929940457,1e-10,-23.025850929940457,1e-10,-23.025850929940457,1e-10,-23.025850929940457,1e-10,-23.025850929940457,1e-10,-23.025850929940457,1e-10,-23.025850929940457,1e-10,-23.025850929940457,1e-10,-23.025850929940457,1e-10,-23.025850929940457,1e-10,-23.025850929940457,1e-10,-23.025850929940457,l,h,h,h,nb,1.7555588013887174e-17,9.124861872403407e-17,4.146191391511586e-17,8.930320017124781e-19,-38.58115936931148,-36.93294381881565,-37.72175640501975,-41.55966453645637,1.7555588013887174e-17,9.124861872403407e-17,4.146191391511586e-17,8.930320017124781e-19,0,0,0,0,1.7555588013887177e-12,9.124861872403408e-12,4.146191391511586e-12,8.930320017124784e-14,1.7555588013887175e-11,9.124861872403407e-11,4.1461913915115854e-11,8.930320017124784e-13,nb
426,Synset('handbell.n.01'),music,0,1,0,10,31,8,1,1,-17.07673963,0.0,0.9921355111917723,0.3923444976076555,3.834124484569657e-08,-17.076739631267156,3.834124484569657e-08,3.834124484569657e-08,1e-10,-23.025850929940457,1e-10,-23.025850929940457,1e-10,-23.025850929940457,1e-10,-23.025850929940457,1e-10,-23.025850929940457,1e-10,-23.025850929940457,1e-10,-23.025850929940457,1e-10,-23.025850929940457,1e-10,-23.025850929940457,13.0,2.5649493574615367,13.0,2.5649493574615367,13.0,2.5649493574615367,l,b,b,b,b,1.7555588013887174e-17,9.124861872403407e-17,4.146191391511586e-17,1.1609416022262217e-07,-38.58115936931148,-36.93294381881565,-37.72175640501975,-15.96886424905438,1.7555588013887174e-17,9.124861872403407e-17,4.146191391511586e-17,1.1609416022262217e-07,0,0,0,1,1.7555588013887177e-12,9.124861872403408e-12,4.146191391511586e-12,0.0116094160222622,1.7555588013887175e-11,9.124861872403407e-11,4.1461913915115854e-11,0.1160941602226221,b
434,Synset('high-hat_cymbal.n.01'),music,0,1,0,10,41,8,2,2,-17.07608753,0.0,0.9921355111917723,0.5189072387714153,3.836625520059479e-08,-17.076087534516006,7.673251040118957e-08,7.581464700479047e-08,1e-10,-23.025850929940457,1e-10,-23.025850929940457,1e-10,-23.025850929940457,1e-10,-23.025850929940457,1e-10,-23.025850929940457,1e-10,-23.025850929940457,1e-10,-23.025850929940457,1e-10,-23.025850929940457,1e-10,-23.025850929940457,1e-10,-23.025850929940457,1e-10,-23.025850929940457,1e-10,-23.025850929940457,l,b,l,l,nb,1.7555588013887174e-17,9.124861872403407e-17,4.146191391511586e-17,8.930320017124781e-19,-38.58115936931148,-36.93294381881565,-37.72175640501975,-41.55966453645637,1.7555588013887174e-17,9.124861872403407e-17,4.146191391511586e-17,8.930320017124781e-19,0,0,0,0,1.7555588013887177e-12,9.124861872403408e-12,4.146191391511586e-12,8.930320017124784e-14,1.7555588013887175e-11,9.124861872403407e-11,4.1461913915115854e-11,8.930320017124784e-13,nb
437,Synset('kazoo.n.01'),music,0,1,0,9,93,5,1,1,-17.36486802,0.0,0.8929219600725952,1.1770334928229664,2.8743102120643016e-08,-17.36486802472846,2.8743102120643016e-08,2.8743102120643016e-08,1e-10,-23.025850929940457,1e-10,-23.025850929940457,1e-10,-23.025850929940457,1e-10,-23.025850929940457,1e-10,-23.025850929940457,1e-10,-23.025850929940457,1e-10,-23.025850929940457,1e-10,-23.025850929940457,1e-10,-23.025850929940457,2.0,0.6931471805599453,2.0,0.6931471805599453,2.0,0.6931471805599453,l,b,b,b,b,1.7555588013887174e-17,9.124861872403407e-17,4.146191391511586e-17,1.7860640034249563e-08,-38.58115936931148,-36.93294381881565,-37.72175640501975,-17.840666425955973,1.7555588013887174e-17,9.124861872403407e-17,4.146191391511586e-17,1.7860640034249563e-08,0,0,0,1,1.7555588013887177e-12,9.124861872403408e-12,4.146191391511586e-12,0.0017860640034249,1.7555588013887175e-11,9.124861872403407e-11,4.1461913915115854e-11,0.0178606400342495,b
438,Synset('kettle.n.04'),music,0,1,0,9,124,6,5,4,-14.01719706,0.0,0.8929219600725952,1.569377990430622,8.173511282905111e-07,-14.01719705682498,4.086755641452555e-06,3.3285537028859835e-06,96.0,4.564348191467836,96.0,4.564348191467836,96.0,4.564348191467836,21.0,3.044522437723423,21.0,3.044522437723423,21.0,3.044522437723423,54.0,3.9889840465642745,54.0,3.9889840465642745,54.0,3.9889840465642745,165.8,5.110782242701195,829.0,6.720220155135295,776.0,6.654152520183219,l,b,l,l,nb,1.6853364493331686e-05,1.916220993204716e-05,2.238943351416256e-05,1.4806470588392888e-06,-10.990960247903184,-10.86257045115177,-10.706921428515017,-13.423031363814724,1.6853364493331686e-05,1.916220993204716e-05,2.238943351416256e-05,7.403235294196444e-06,1,1,1,1,1.6853364493331686,1.916220993204716,2.238943351416256,0.7403235294196444,16.853364493331686,19.162209932047155,22.38943351416256,7.403235294196444,nb
441,Synset('krummhorn.n.01'),music,0,1,0,12,75,8,3,1,-21.1804992,0.0,1.190562613430127,0.9492205587281988,6.330325985626212e-10,-21.180499196591224,1.899097795687865e-09,8.21231471714867e-10,1e-10,-23.025850929940457,1e-10,-23.025850929940457,1e-10,-23.025850929940457,1e-10,-23.025850929940457,1e-10,-23.025850929940457,1e-10,-23.025850929940457,1e-10,-23.025850929940457,1e-10,-23.025850929940457,1e-10,-23.025850929940457,1e-10,-23.025850929940457,1e-10,-23.025850929940457,1e-10,-23.025850929940457,l,b,b,b,b,1.7555588013887174e-17,9.124861872403407e-17,4.146191391511586e-17,8.930320017124781e-19,-38.58115936931148,-36.93294381881565,-37.72175640501975,-41.55966453645637,1.7555588013887174e-17,9.124861872403407e-17,4.146191391511586e-17,8.930320017124781e-19,0,0,0,0,1.7555588013887177e-12,9.124861872403408e-12,4.146191391511586e-12,8.930320017124784e-14,1.7555588013887175e-11,9.124861872403407e-11,4.1461913915115854e-11,8.930320017124784e-13,b
468,Synset('pitch_pipe.n.01'),music,0,1,0,10,114,10,1,1,-18.25204681,0.0,0.9921355111917723,1.4428152492668622,1.183686748618129e-08,-18.25204681291936,1.183686748618129e-08,1.183686748618129e-08,1e-10,-23.025850929940457,1e-10,-23.025850929940457,1e-10,-23.025850929940457,1e-10,-23.025850929940457,1e-10,-23.025850929940457,1e-10,-23.025850929940457,1e-10,-23.025850929940457,1e-10,-23.025850929940457,1e-10,-23.025850929940457,1e-10,-23.025850929940457,1e-10,-23.025850929940457,1e-10,-23.025850929940457,l,b,l,l,nb,1.7555588013887174e-17,9.124861872403407e-17,4.146191391511586e-17,8.930320017124781e-19,-38.58115936931148,-36.93294381881565,-37.72175640501975,-41.55966453645637,1.7555588013887174e-17,9.124861872403407e-17,4.146191391511586e-17,8.930320017124781e-19,0,0,0,0,1.7555588013887177e-12,9.124861872403408e-12,4.146191391511586e-12,8.930320017124784e-14,1.7555588013887175e-11,9.124861872403407e-11,4.1461913915115854e-11,8.930320017124784e-13,nb
