,Synsets,Domain,nrhypos,nrdirhypers,nrpartrels,depthfromtopsynset,glosslength,minwordlength,nroflemmas,polyscore_max,ngrams_last_mean,nrpartrels_normalised,depthfromtopsynset_normalised,glosslength_normalised,vote
440,Synset('koto.n.01'),music,0,1,0,9,155,4,1,1,-15.50161886,0.0,0.8929219600725952,1.961722488038277,b
441,Synset('krummhorn.n.01'),music,0,1,0,12,75,8,3,1,-21.1804992,0.0,1.190562613430127,0.9492205587281988,b
442,Synset('lagerphone.n.01'),music,0,1,0,9,178,10,1,1,-23.69280483,0.0,0.8929219600725952,2.252816792714925,b
443,Synset('lute.n.02'),music,0,1,1,10,120,4,1,2,-13.55757087,3.9047619047619047,0.9921355111917723,1.518752893965118,b
444,Synset('lyre.n.01'),music,1,1,0,11,47,4,1,1,-13.6088307,0.0,1.0913490623109496,0.5948448834696712,nb
445,Synset('mandola.n.01'),music,0,1,0,11,25,7,1,1,-18.82527039,0.0,1.0913490623109496,0.3164068529093995,nb
446,Synset('mandolin.n.01'),music,1,1,1,10,73,8,1,1,-15.00857295,3.9047619047619047,0.9921355111917723,0.9239080104954468,b
447,Synset('maraca.n.01'),music,0,1,0,9,103,6,1,1,-18.22053412,0.0,0.8929219600725952,1.3035962339867262,b
448,Synset('marimba.n.01'),music,0,1,0,9,122,7,2,1,-16.16366696,0.0,0.8929219600725952,1.54406544219787,b
449,Synset('mechanical_piano.n.01'),music,0,1,0,10,87,7,3,1,-17.75347216,0.0,0.9921355111917723,1.1010958481247106,nb
450,Synset('musette_pipe.n.01'),music,0,1,0,13,19,12,1,1,-23.02585093,0.0,1.2897761645493042,0.2404692082111436,nb
451,Synset('musette.n.01'),music,0,1,0,11,42,7,2,2,-17.47819672,0.0,1.0913490623109496,0.5315635128877914,nb
452,Synset('music_box.n.01'),music,0,1,0,8,110,9,2,1,-16.35172947,0.0,0.793708408953418,1.3921901528013585,b
453,Synset('musical_instrument.n.01'),music,163,1,0,7,90,10,2,9,-11.01229273,0.0,0.6944948578342407,1.1390646704738383,nb
454,Synset('nose_flute.n.01'),music,0,1,0,11,85,10,1,1,-19.2523482,0.0,1.0913490623109496,1.0757832998919583,nb
455,Synset('oboe_d'amore.n.01'),music,0,1,0,13,89,12,1,1,-19.08763468,0.0,1.2897761645493042,1.1264083963574625,nb
456,Synset('oboe_da_caccia.n.01'),music,0,1,0,13,43,14,1,1,-19.7225129,0.0,1.2897761645493042,0.5442197870041673,nb
457,Synset('oboe.n.01'),music,6,1,0,12,93,4,3,1,-15.63764708,0.0,1.190562613430127,1.1770334928229664,b
458,Synset('ocarina.n.01'),music,0,1,0,9,73,7,2,3,-15.46393879,0.0,0.8929219600725952,0.9239080104954468,b
459,Synset('organ_pipe.n.01'),music,10,1,1,9,35,4,3,9,-11.87880354,3.9047619047619047,0.8929219600725952,0.4429695940731594,nb
460,Synset('organ_stop.n.01'),music,7,1,0,10,51,10,1,1,-19.15601708,0.0,0.9921355111917723,0.6454699799351752,nb
461,Synset('organ.n.05'),music,0,2,5,9,160,5,2,6,-11.66111133,19.52380952380952,0.8929219600725952,2.025003858620157,b
462,Synset('panpipe.n.01'),music,0,1,0,10,79,6,3,2,-17.1013462,0.0,0.9921355111917723,0.9998456551937028,b
463,Synset('pennywhistle.n.01'),music,0,1,0,11,27,7,3,11,-13.14904367,0.0,1.0913490623109496,0.3417194011421515,nb
464,Synset('percussion_instrument.n.01'),music,33,1,1,8,82,21,2,1,-17.89599189,3.9047619047619047,0.793708408953418,1.0378144775428306,nb
465,Synset('piano.n.01'),music,6,3,7,9,117,5,3,4,-12.34318682,27.33333333333333,0.8929219600725952,1.48078407161599,b
466,Synset('piccolo.n.01'),music,0,1,0,11,57,7,1,1,-15.69044527,0.0,1.0913490623109496,0.7214076246334311,nb
467,Synset('pipe.n.04'),music,10,1,0,9,25,4,1,9,-10.78481852,0.0,0.8929219600725952,0.3164068529093995,nb
468,Synset('pitch_pipe.n.01'),music,0,1,0,10,114,10,1,1,-18.25204681,0.0,0.9921355111917723,1.4428152492668622,nb
469,Synset('post_horn.n.01'),music,0,1,0,9,65,9,1,1,-19.04963669,0.0,0.8929219600725952,0.8226578175644389,b
470,Synset('psaltery.n.01'),music,0,1,0,9,118,8,1,1,-16.16608727,0.0,0.8929219600725952,1.493440345732366,b
471,Synset('rain_stick.n.01'),music,0,1,0,9,256,10,1,1,-19.56659727,0.0,0.8929219600725952,3.240006173792252,b
472,Synset('reed_pipe.n.01'),music,0,1,0,10,32,9,1,1,-17.84934029,0.0,0.9921355111917723,0.4050007717240315,nb
473,Synset('reed_stop.n.01'),music,1,1,0,11,48,9,1,1,-19.53629193,0.0,1.0913490623109496,0.6075011575860472,nb
474,Synset('sackbut.n.01'),music,0,1,0,11,51,7,1,1,-17.52738694,0.0,1.0913490623109496,0.6454699799351752,nb
475,Synset('samisen.n.01'),music,0,1,0,9,161,7,2,1,-16.44929187,0.0,0.8929219600725952,2.037660132736533,b
476,Synset('sax.n.02'),music,0,1,0,12,42,3,2,2,-14.77885099,0.0,1.190562613430127,0.5315635128877914,b
477,Synset('saxhorn.n.01'),music,0,1,0,10,75,7,1,1,-20.08188692,0.0,0.9921355111917723,0.9492205587281988,nb
